Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1997	Eduards Loze	Kristīne Šefere	Eduards Loze Mārtiņš Kažemaks	Kristīne Šefere Margarita Mikelsone	Eduards Loze Kristīne Šefere
1998	Eduards Loze	Margarita Mikelsone	Eduards Loze Mārtiņš Kažemaks	Kristine Tiruma Dace Šneidere	Eduards Loze Kristīne Šefere
1999	Eduards Loze	Dace Šneidere	Eduards Loze Mārtiņš Kažemaks	Kristīne Šefere Margarita Mikelsone	Eduards Loze Kristīne Šefere
2000	Mārtiņš Kažemaks	Kristīne Šefere	Mārtiņš Kažemaks Edijs Līviņš	Kristīne Šefere Dace Šneidere	Mārtiņš Kažemaks Margarita Mikelsone
2001	Eduards Loze	Kristīne Šefere	Eduards Loze Mārtiņš Kažemaks	Kristīne Šefere Margarita Mikelsone	Reinis Belasovs Kristīne Šefere
2002	Eduards Loze	Kristīne Šefere	Eduards Loze Mārtiņš Kažemaks	Kristīne Šefere Margarita Mikelsone	Imants Kelmers Kristīne Šefere
2003	Eduards Loze	Kristīne Šefere	Karlis Vidass Guntis Lavrinovičs	Kristīne Šefere Margarita Mikelsone	Raimonds Cipe Kristīne Šefere
2004	Karlis Vidass	Margarita Mikelsone	Karlis Vidass Guntis Lavrinovičs	Kristīne Šefere Margarita Mikelsone	Karlis Vidass Kristine Kisele
2005	Karlis Vidass	Kristīne Šefere	Karlis Vidass Guntis Lavrinovičs	Kristīne Šefere Margarita Mikelsone	Aivars Terauds Kristīne Šefere
2006	Edijs Līviņš	Kristīne Šefere	Karlis Vidass Guntis Lavrinovičs	Kristīne Šefere Margarita Mikelsone	Eduards Loze Kristīne Šefere
2007	Eduards Loze	Kristīne Šefere	Eduards Loze Edijs Līviņš	Kristīne Šefere Madara Puķīte	Eduards Loze Kristīne Šefere
2008	Kārlis Vidass	Kristīne Šefere	Karlis Vidass Guntis Lavrinovičs	Kristīne Šefere Madara Puķīte	Eduards Loze Kristīne Šefere
2009	Edijs Līviņš	Kristīne Šefere	Eduards Loze Edijs Līviņš	Kristīne Šefere Dace Šneidere	Eduards Loze Kristīne Šefere
2010	Eduards Loze	Kristīne Šefere	Raimonds Cipe Jānis Valeinis	Kristīne Šefere Ieva Pope	Guntis Lavrinovičs Kristīne Šefere
