Year	Pick	Player	Position	Country	Previous team (League)
1993	5	Rob Niedermayer Category:Articles with hCards	Center	Canada	Medicine Hat Tigers ( WHL )
1994	1*	Ed Jovanovski Category:Articles with hCards	Defense	Canada	Windsor Spitfires ( OHL )
1995	10	Radek Dvorak Category:Articles with hCards	Right Wing	Czech Republic	HC České Budějovice (Czech)
1996	20	Marcus Nilson Category:Articles with hCards	Right Wing	Sweden	Djurgårdens IF (Sweden)
1997	20	Mike Brown Category:Articles with hCards	Wing	Canada	Red Deer Rebels ( WHL )
1998	No Pick	No Pick	No Pick	No Pick	No Pick
1999	12	Denis Shvidki Category:Articles with hCards	Right Wing	Ukraine	Barrie Colts ( OHL )
2000	No Pick	No Pick	No Pick	No Pick	No Pick
2001	4	Stephen Weiss Category:Articles with hCards	Center	Canada	Plymouth Whalers ( OHL )
2001	24	Lukas Krajicek Category:Articles with hCards	Defense	Czech Republic	Peterborough Petes ( OHL )
2002	3	Jay Bouwmeester Category:Articles with hCards	Defense	Canada	Medicine Hat Tigers ( WHL )
2002	9	Petr Taticek Category:Articles with hCards	Center	Czech Republic	Sault Ste. Marie Greyhounds ( OHL )
2003	3	Nathan Horton Category:Articles with hCards	Center	Canada	Oshawa Generals ( OHL )
2003	25	Anthony Stewart Category:Articles with hCards	Right Wing	Canada	Kingston Frontenacs ( OHL )
2004	7	Rostislav Olesz Category:Articles with hCards	Left Wing	Czech Republic	HC Vítkovice (Czech)
2005	20	Kenndal McArdle Category:Articles with hCards	Left Wing	Canada	Moose Jaw Warriors ( WHL )
2006	10	Michael Frolik Category:Articles with hCards	Left Wing	Czech Republic	HC Kladno (Czech)
2007	10	Keaton Ellerby Category:Articles with hCards	Defense	Canada	Kamloops Blazers ( WHL )
2008	No Pick	No Pick	No Pick	No Pick	No Pick
2009	14	Dmitri Kulikov Category:Articles with hCards	Defense	Russia	Drummondville Voltigeurs ( QMJHL )
2010	3	Erik Gudbranson Category:Articles with hCards	Defense	Canada	Kingston Frontenacs ( OHL )
2010	19	Nick Bjugstad Category:Articles with hCards	Center	United States	Blaine High School ( HS-MN )
2010	25	Quinton Howden Category:Articles with hCards	Left Wing	Canada	Moose Jaw Warriors ( WHL )
2011	3	Jonathan Huberdeau Category:Articles with hCards	Center	Canada	Saint John Sea Dogs ( QMJHL )
2012	23	Mike Matheson Category:Articles with hCards ≠	Defense	Canada	Dubuque Fighting Saints ( USHL )
2013	2	Aleksander Barkov Category:Articles with hCards	Center	Finland	Tappara ( SM-liiga )
