Songs	Paul McCartney	Stuart	McIntosh	Wix	Whitten	Linda McCartney
" Figure of Eight "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Tambourine
" Jet "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
"Rough Ride"	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Got to Get You into My Life "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Band on the Run "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
"We Got Married"	Bass	Acoustic Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Maybe I'm Amazed " or " Let 'Em In "	Piano	Bass	Electric Guitar	Keyboards	Drums	Keyboards or Drum
" The Long and Winding Road "	Piano	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" The Fool on the Hill "	Piano	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Good Day Sunshine "	Electric Guitar	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Can't Buy Me Love "	Electric Guitar	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Put It There "/" Hello, Goodbye (reprise) "	Acoustic Guitar	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Things We Said Today "	Acoustic Guitar	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Eleanor Rigby "	Acoustic Guitar	None	None	Keyboards	None	None
" This One "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Tambourine
" My Brave Face "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Back in the U.S.S.R. "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" I Saw Her Standing There "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Twenty Flight Rock " (not played in all cities)	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Coming Up "	Bass	Electric Guitar	Electric Guitar	Keyboards	Drums	Keyboards
" Let It Be "	Piano	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Live and Let Die "	Piano	Bass	Electric Guitar	Keyboards	Drums	Keyboards
" Hey Jude "	Piano	Bass	Electric Guitar	Keyboards	Drums	Tambourine/Keyboards
" Yesterday "	Acoustic Guitar	None	None	Keyboards	None	None
"P.S. Love Me Do" (played only in some cities)	None	Bass	Electric Guitar	Keyboards	Drums	Keyboards
