Week	Date	Opponent	Result	TV Time	Attendance
1	September 7, 2003	New England Patriots	W 31–0	CBS 1:00et	73,262
2	September 14, 2003	at Jacksonville Jaguars	W 38–17	CBS 1:00et	58,613
3	September 21, 2003	at Miami Dolphins	L 17–7	ESPN 8:30et	73,458
4	September 28, 2003	Philadelphia Eagles	L 23–13	FOX 1:00et	73,305
5	October 5, 2003	Cincinnati Bengals	W 22–16	CBS 1:00et	72,615
6	October 12, 2003	at New York Jets	L 30–3	CBS 4:15et	77,740
7	October 19, 2003	Washington Redskins	W 24–7	FOX 4:15et	73,149
8	October 26, 2003	at Kansas City Chiefs	L 38–5	ESPN 8:30et	78,689
9	Bye	Bye	Bye	Bye	Bye
10	November 9, 2003	at Dallas Cowboys	L 10–6	CBS 4:15et	63,770
11	November 16, 2003	Houston Texans	L 12–10	CBS 1:00et	72,677
12	November 23, 2003	Indianapolis Colts	L 17–14	CBS 1:00et	73,004
13	November 30, 2003	at New York Giants	W 24–7	CBS 1:00et	78,481
14	December 7, 2003	New York Jets	W 17–6	CBS 4:15et	72,791
15	December 14, 2003	at Tennessee Titans	L 28–26	CBS 1:00et	68,809
16	December 21, 2003	Miami Dolphins	L 20–3	CBS 1:00et	73,319
17	December 27, 2003	at New England Patriots	L 31–0	CBS 1:30et	68,436
