Name	Main span metres	Main span feet	Year to open	Country
İzmit Bay Bridge	1,550	5,085	2017	Turkey
Yavuz Sultan Selim Bridge	1,408	4,619	2015	Turkey
Longjiang River Bridge	1,196	3,924	2015	China
Longmen Bridge (Guangxi)	1,160	3,806	2016	China
Ulsan Bridge	1,150	3,773	2014	South Korea
Hålogaland Bridge	1,145	3,757	2017	Norway
Ma'anshan Bridge	1,080 (x2)	3,543 (x2)	2013	China
Second Namhae Bridge	890	2,920	2016	South Korea
Cuntan Bridge	880	2,887	2016	China
Lishui Bridge	856	2,808	2013	China
Jeokgeum Bridge	850	2,790	2013	South Korea
Yingwuzhou Bridge	850 (x2)	2,790 (x2)	2015	China
Qincaobei Bridge	788	2,585	2013	China
Puli Bridge	628	2,060	2015	China
Dimuhe River Bridge	538	1,765	2015	China
Taohuayu Yellow River Bridge	406	1,332	2013	China
Dandeung Bridge	400	1,312	2014	South Korea
