Driver	Constructor	Laps	Time/Retired	Grid
Heinz-Harald Frentzen	Jordan - Mugen-Honda	53	1:17:02.923	2
Ralf Schumacher	Williams - Supertec	53	+3.272	5
Mika Salo	Ferrari	53	+11.932	6
Rubens Barrichello	Stewart - Ford	53	+17.630	7
David Coulthard	McLaren - Mercedes	53	+18.142	3
Eddie Irvine	Ferrari	53	+27.402	8
Alessandro Zanardi	Williams - Supertec	53	+28.047	4
Jacques Villeneuve	BAR - Supertec	53	+41.797	11
Jean Alesi	Sauber - Petronas	53	+42.198	13
Damon Hill	Jordan - Mugen-Honda	53	+56.259	9
Olivier Panis	Prost - Peugeot	52	Engine	10
Johnny Herbert	Stewart - Ford	40	Clutch	15
Toranosuke Takagi	Arrows	35	Spun off	22
Pedro de la Rosa	Arrows	35	Withdrew	21
Mika Häkkinen	McLaren - Mercedes	30	Spun off	1
Jarno Trulli	Prost - Peugeot	29	Overheating	12
Ricardo Zonta	BAR - Supertec	25	Wheel bearing	18
Luca Badoer	Minardi - Ford	23	Collision	19
Alexander Wurz	Benetton - Playlife	11	Electrical	14
Pedro Diniz	Sauber - Petronas	1	Spun off	16
Giancarlo Fisichella	Benetton - Playlife	1	Spun off	17
Marc Gené	Minardi - Ford	0	Collision	20
