Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	23	0	92
Glen Tomlinson	Stand Off	5	0	20
Graeme Bradley	Centre	14	0	56
Carlos Hassan	Centre	6	0	24
Jon Scales	Wing	18	0	72
Davide Longo	Wing	3	0	12
Paul Cook	Scrum Half	6	52	129
Jon Hamer	Prop	0	0	0
Jason Donahue	Hooker	1	0	4
Nathan Graham	Fullback	0	0	0
Jeremy Donougher	Second Row	9	0	36
Paul Medley	Second Row	9	0	36
Sonny Nickle	Second Row	6	0	24
Gary Christie	Wing	1	0	4
Simon Knox	Loose Forward	6	0	24
Matt Calland	Centre	14	0	56
Karl Fairbank	Prop	5	0	20
Brian McDermott	Prop	5	0	20
Bernard Dwyer	Hooker	9	0	36
Paul Loughlin	Centre	12	3	54
James Lowes	Hooker	11	0	44
Steve McNamara	Loose Forward	1	82	170
Joe Tamani	Wing	4	0	16
Stuart Spruce	Fullback	12	0	48
