Born	Became oldest MP	Left House	Age on leaving	Died	Political Party
6 May 1866	1945	1950	83 2	24 April 1957	Liberal Party
22 November 1871	1950	Feb 1964	92 1	25 February 1964	Labour Party
30 November 1874	Feb 1964	Sep 1964	89 2	24 January 1965	Conservative
18 October 1884	Sep 1964	1970	85 2	8 May 1986	Labour Party
probably 9 November 1879	1970	1972	92 1	25 February 1972	Labour Party
1 February 1890	1972	1973	83 1	8 October 1973	Labour Party
23 February 1895	1973	Feb 1974	79 2	26 April 1980	Conservative
18 June 1898	Feb 1974	1979	80 2	6 May 1987	Labour Party
16 January 1905	1979	1987	82 2	4 June 1990	Labour Party
23 July 1913	1987	1992	78 2	3 March 2010	Labour Party
9 July 1916	1992	2001	84 2	17 July 2005	Conservative
20 November 1921	2001	2007	85 1	21 June 2007	Labour Party
6 April 1926	2007	2010	84 2	living	Democratic Unionist Party
1 February 1930	2010	N/A	N/A	living	Conservative
