year	opus	town	church	kind	manuals	stops
1954/88	1	Larrelt (D)	Larrelt Church	R	I/p	11
1955	4	Westerhusen (D)	Westerhusen Church	R	I/p	7
1957	9	Uttum (D)	Uttum Church	R	I	9
1957 (1997)	10	Veldhausen (D)	Altref. Church	NB	I (II/P)	6 (13)
1959/2002	18	Scheveningen (NL)	Zorgvlietkerk	NB	III/P	26
1961	25	Rysum (D)	Rysum Church	R	I	7
1961	27	Aurich (D)	Lambertikirche	NB	II/P	25
1962	29	Espel (NL)	Ref. Church	NB	I	7
1962	30	Bremen (D)	St. Martini	NB	III/P	33
1963	34	Wassenaar (NL)	Kivietkerk	NB	II/P	21
1965	41	Amsterdam (NL)	Oude Kerk (transept organ)	NB	II/P	17
1965	43	Amsterdam (NL)	Oude Waalse Kerk	R	II/P	26
1965	40	Groningen (NL)	Magnaliakerk	NB	II	13
1965	42	Den Haag (NL)	Johanneskapel	NB	II/P	14
1966	45	Bremen (D)	Ev. Church Oberneuland	NB	II/P	22
1967	49	Castrop-Rauxel (D)	Church Schwerin-Frolinde	NB	III/P	27
1968	51	Aalten (NL)	Geref. Zuiderkerk	NB	II/P	16
1968	58	Haarlem (NL)	Mennonite Church	NB	III/P	24
1969	62	Hamburg (D)	Ref. Church Altona	NB	II/P	13
1966/69/87	65	Marienhafe (D)	Marienkirche	R	II/p	20
1970	68	Frankfurt am Main (D)	Cantate Domino	NB	III/P	33
1970	69	Uelsen (D)	Ref. Church	NB	II/P	20
1970/76	70	Innsbruck (A)	Hofkirche	R	II/p	15
1963-71	74	Leer (D)	Große Kirche	R	III/P	37
