Tie no	Home team	Score	Away team	Date
1	Blackpool	1–0	Torquay United	27 Jan 1990
2	Bristol City	3–1	Chelsea	27 Jan 1990
3	Rochdale	3–0	Northampton Town	27 Jan 1990
4	Southampton	1–0	Oxford United	27 Jan 1990
5	Reading	3–3	Newcastle United	27 Jan 1990
Replay	Newcastle United	4–1	Reading	31 Jan 1990
6	Aston Villa	6–0	Port Vale	27 Jan 1990
7	Sheffield Wednesday	1–2	Everton	28 Jan 1990
8	West Bromwich Albion	1–0	Charlton Athletic	27 Jan 1990
9	Sheffield United	1–1	Watford	27 Jan 1990
Replay	Watford	1–2	Sheffield United	30 Jan 1990
10	Barnsley	2–0	Ipswich Town	27 Jan 1990
11	Norwich City	0–0	Liverpool	28 Jan 1990
Replay	Liverpool	3–1	Norwich City	31 Jan 1990
12	Millwall	1–1	Cambridge United	27 Jan 1990
Replay	Cambridge United	1–0	Millwall	30 Jan 1990
13	Oldham Athletic	2–1	Brighton & Hove Albion	27 Jan 1990
14	Crystal Palace	4–0	Huddersfield Town	27 Jan 1990
15	Arsenal	0–0	Queens Park Rangers	27 Jan 1990
Replay	Queens Park Rangers	2–0	Arsenal	31 Jan 1990
16	Hereford United	0–1	Manchester United	28 Jan 1990
