Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1995	7	1	3	3	0	8.3	16.7	$50,030	29th	Ken Schrader Racing
1996	4	0	0	2	0	12.2	16.0	$29,250	46th	Ken Schrader Racing Darrell Waltrip Motorsports
1997	2	0	0	1	0	10.0	12.0	$21,125	69th	Ken Schrader Racing A.J. Foyt Enterprises
1999	1	0	0	0	0	11.0	36.0	$6,490	120th	Ken Schrader Racing
2000	5	0	1	3	0	10.4	10.0	$52,595	35th	Ken Schrader Racing
2001	8	0	1	5	0	12.4	11.5	$90,670	28th	Ken Schrader Racing
2002	8	0	0	3	0	13.9	20.9	$64,010	27th	Ken Schrader Racing
2003	11	0	0	3	0	13.6	15.7	$99,665	23rd	Ken Schrader Racing
2004	12	0	1	4	1	17.3	18.6	$103,797	28th	Ken Schrader Racing
2005	10	0	0	1	0	23.5	20.6	$82,348	31st	Ken Schrader Racing Darrell Waltrip Motorsports
2007	17	0	2	3	0	20.6	17.2	$245,584	19th	Bobby Hamilton Racing
2008	3	0	1	1	0	25.7	16.7	$29,530	51st	Ken Schrader Racing
2009	2	0	0	1	0	17.5	13.0	$18,935	60th	Ken Schrader Racing
