Years	Coach	Seasons	Wins	Losses	Ties	Pct.
1887–89, 1892–93	None	5	7	4	1	.625
1894	J.L. Morison	1	3	1	1	.700
1895	H.G. Hadden	1	3	1	0	.750
1896–98	Frank E. Hering	3	12	6	1	.658
1899	James McWeeney	1	6	3	1	.650
1900–01	Pat O'Dea	2	14	4	2	.750
1902–03	James F. Faragher	2	14	2	2	.843
1904	Red Salmon	1	5	3	0	.625
1905	Henry J. McGlew	1	5	4	0	.556
1906–07	Thomas A. Barry	2	12	1	1	.893
1908	Victor M. Place	1	8	1	0	.889
1909–10	Shorty Longman	2	11	1	2	.857
1911–12	Jack Marks	2	13	0	2	.933
1913–17	Jesse Harper	5	34	5	1	.863
1918–30	Knute Rockne	13	105	12	5	.881
1931–33	Hunk Anderson	3	16	9	2	.630
1934–40	Elmer Layden	7	47	13	3	.770
1941–43, 1946–53	Frank Leahy	11	87	11	9	.855
1944	Ed McKeever	1	8	2	0	.800
1945, 1963	Hugh Devore	2	9	9	1	.500
1954–58	Terry Brennan	5	32	18	0	.640
1959–62	Joe Kuharich	4	17	23	0	.425
1964–74	Ara Parseghian	11	95	17	4	.836
1975–80	Dan Devine	6	53	16	1	.764
1981–85	Gerry Faust	5	30	26	1	.535
1986–96	Lou Holtz	11	100	30	2	.765
1997–01	Bob Davie	5	35	25	–	.583
2001*	George O'Leary	0	0	0	–	–
2002–04	Tyrone Willingham	3	21	15	–	.583
2004†	Kent Baer	0	0	1	–	.000
2005–09	Charlie Weis	5	35	27	–	.565
2010–Present	Brian Kelly	4	35	13	–	.729
