Sanskrit संस्कृतम्	Tamil தமிழ்	Telugu తెలుగు	Kannada ಕನ್ನಡ	Malayalam മലയാളം	Mongolian
Ashvinī अश्विनी	Aswini அஸ்வினி	Ashwini అశ్విని	Ashwini ಅಶ್ವಿನಿ	Ashvati അശ്വതി	Шийдэм
Bharanī भरणी	Paraṇi பரணி	Bharani భరణి	Bharani ಭರಣಿ	Bharaṇi ഭരണി	Гоё хүүхэн
Krittikā कृत्तिका	Kārttikai கார்த்திகை	Kritika కృత్తిక	Kritika ಕೃತ್ತಿಕಾ	Kārttika കാർത്തിക	Нэг эхт зургаан хөвгүүн
Rohini रोहिणी	Rōkiṇi ரோகிணி	Rohini రోహిణి	Rohini ರೋಹಿಣಿ	Rōhiṇi രോഹിണി	Чөлөөт эх
Mrigashīrsha म्रृगशीर्षा	Mirugacīriṭam மிருகசீரிடம்	Mrigasira మృగశిర	Mrigashira ಮೃಗಶಿರ	Makayiram മകയിരം	Гөрөөсөн толгой
Ārdrā आद्रा	Tiruvātirai திருவாதிரை	Arudra ఆరుద్ర	Ardra ಆರ್ದ್ರ	Ātira or Tiruvātira ആതിര (തിരുവാതിര)	Хэрцгий охин
Punarvasu पुनर्वसु	Punarpūsam புனர்பூசம்	Punarvasu పునర్వసు	Punarvasu ಪುನರ್ವಸು	Puṇartam പുണർതം	Өглөгт охин
Pushya पुष्य	Pūsam பூசம்	Pushya పుష్య	Pushyami ಪುಷ್ಯ	Pūyam പൂയം	Найралт эх
Āshleshā आश्ळेषा / आश्लेषा	āyilyam ஆயில்யம்	Ashlesha ఆశ్లేష	Ashlesha ಆಶ್ಲೇಷ	Āyilyam ആയില്യം	Үнэг
Maghā मघा	Makam மகம்	Maghaa మఘ	Magha ಮಘ	Makam മകം	Их морь
Pūrva or Pūrva Phalgunī पूर्व फाल्गुनी	Pūram பூரம்	Pubba పుబ్బ/పూర్వ	Poorva ಪೂರ್ವ/ಪುಬ್ಬ	Pūram പൂരം	Бага морь
Uttara or Uttara Phalgunī उत्तर फाल्गुनी	Uttiram உத்திரம்	Uttara ఉత్తర	Uttara ಉತ್ತರಾ	Utram ഉത്രം	Харцага
Hasta हस्त	Astham அஸ்தம்	Hasta హస్త	Hastaa ಹಸ್ತ	Attam അത്തം	Тугчин
Chitrā चित्रा	Chittirai சித்திரை	Chittaa చిత్త	Chitra ಚಿತ್ತ	Chittira ചിത്തിര (ചിത്ര)	Тэргүүн дагуул
Svātī स्वाती	suwāti சுவாதி	Swaati స్వాతి	Swathi ಸ್ವಾತಿ	Chōti ചോതി	Салхины эх
Vishākhā विशाखा	Visākam விசாகம்	Vishaakha విశాఖ	Vishakha ವಿಶಾಖ	Vishākham വിശാഖം	Эрхтний тэнгэрт
Anurādhā अनुराधा	Anusham அனுஷம்	Anuraadha అనురాధ	Anuradha ಅನುರಾಧಾ	Anizham അനിഴം	Гар од
Jyeshtha ज्येष्ठा	Kēṭṭai கேட்டை	Jyesthaa జ్యేష్ఠ	Jyestha ಜ್ಯೇಷ್ಠ	Kēṭṭa (Trikkēṭṭa) കേട്ട (തൃക്കേട്ട)	Хонгорцог
Mūla मूल	Mūlam மூலம்	Moolaa మూల	Moola ಮೂಲಾ	Mūlam മൂലം	Онгоц
Pūrva Ashādhā पूर्वाषाढा	Pūrāṭam பூராடம்	Poorvashaadha పూర్వాషాఢ	Poorvashadha ಪುರ್ವಾಷಾಢ	Pūrāṭam പൂരാടം	Суулга
Uttara Ashādhā उत्तराषाढा	Uttirāṭam உத்திராடம்	Uttarashaadha ఉత్తరాషాఢ	Uttarashadha ಉತ್ತರಾಷಾಢ	Utrāṭam ഉത്രാടം	Элдэв тэнгэртэн
Shravana श्रवण	Tiruvōnam திருவோணம்	Shravana శ్రవణ	Shravana ಶ್ರವಣ	Tiruvōnam ഓണം (തിരുവോണം)	Булаагч/Яруу эгшигт
Shravishthā or Dhanishta श्रविष्ठा or धनिष्ठा	Aviṭṭam அவிட்டம்	Dhanishta ధనిష్ఠ	Dhanishta ಧನಿಷ್ಠ	Aviṭṭam അവിട്ടം	Тооно
Shatabhishā or Shatataraka शतभिषा / शततारका	Sadayam சதயம்	Shatabhisham శతభిషం	Shatabhisha ಶತಭಿಷ	Chatayam ചതയം	Чөдөр
Pūrva Bhādrapadā पूर्वभाद्रपदा / पूर्वप्रोष्ठपदा	Pūraṭṭādhi பூரட்டாதி	Poorvabhadraa పూర్వ భాద్రపద	Poorva Bhadrapada ಪೂರ್ವ ಭಾದ್ರಪದ	Pūruruṭṭāti പൂരുരുട്ടാതി	Шувуун хошуут
Uttara Bhādrapadā उत्तरभाद्रपदा / उत्तरप्रोष्ठपदा	Uttṛṭṭādhi உத்திரட்டாதி	Uttaraa bhadra ఉత్తర భాద్రపద	Uttara Bhadrapada ಉತ್ತರ ಭಾದ್ರಪದ	Uttṛṭṭāti ഉത്രട്ടാതി	Могой хүлэгч
Revati रेवती	Rēvathi ரேவதி	Revati రేవతి	Revati ರೇವತಿ	Rēvati രേവതി	Дэлгэрүүлэгч
