Standard order	English translation	Transcription (based on Pinyin)	Traditional Chinese	Simplified Chinese
1	The Great Unity, God of the Eastern Sky	"Dong Huang Tai Yi"	東皇太一	东皇太一
2	The Lord within the Clouds	"Dong Huang Tai Yi"	雲中君	云中君
3	The Goddess of the Xiang	"Xiang Jun"	湘君	湘君
4	The Lady of the Xiang	"Xiang Fu Ren"	湘夫人	湘夫人
5	The Greater Master of Fate	"Da Si Ming"	大司命	大司命
6	The Lesser Master of Fate	"Shao Si Ming"	少司命	少司命
7	The Lord of the East	"Dong Jun"	東君	东君
8	The River Earl	"He Bo"	河伯	河伯
9	The Mountain Spirit	"Shan Gui"	山鬼	山鬼
10	Hymn to the Fallen	"Guo Shang"	國殤	国殇
11	Honouring the Dead	"Li Hun"	禮魂	礼魂
