Party	Constituency	Election	Candidate	Votes	Percentage	Position
Alliance	Belfast East	1983	Oliver Napier	9,373	24.1	3
Alliance	Belfast East	1987	John Alderdice	10,574	32.1	2
Alliance	Belfast East	1992	John Alderdice	10,650	29.8	2
Alliance	Belfast East	1997	Jim Hendron	9,288	23.8	3
Alliance	Belfast East	2001	David Alderdice	5,832	15.8	3
Alliance	Belfast East	2005	Naomi Long	3,746	12.2	3
Alliance	Belfast South	1983	David Cook	8,945	23.9	2
Alliance	Belfast South	1987	David Cook	6,963	21.3	2
Alliance	Belfast South	1992	John Montgomery	5,054	15.0	3
Alliance	Belfast South	1997	Steve McBride	5,112	12.9	4
Alliance	Belfast South	2010	Anna Lo	5,114	15.0	4
Alliance	East Antrim	1983	Séan Neeson	7,620	20.0	3
Alliance	East Antrim	1987	Séan Neeson	8,582	25.6	2
Alliance	East Antrim	1992	Séan Neeson	9,132	23.3	3
Alliance	East Antrim	1997	Séan Neeson	6,929	20.2	2
Alliance	East Antrim	2001	John Matthews	4,483	12.5	3
Alliance	East Antrim	2005	Séan Neeson	4,869	15.3	3
Alliance	East Antrim	2010	Gerry Lynch	3,377	11.1	3
Alliance	Lagan Valley	1983	Seamus Close	4,593	11.3	3
Alliance	Lagan Valley	1987	Seamus Close	5,728	13.8	2
Alliance	Lagan Valley	1992	Seamus Close	6,207	12.7	2
Alliance	Lagan Valley	1997	Seamus Close	7,635	17.2	2
Alliance	Lagan Valley	2001	Seamus Close	7,624	16.6	2
Alliance	Lagan Valley	2005	Seamus Close	4,316	10.1	3
Alliance	Lagan Valley	2010	Trevor Lunn	4,174	11.4	3
Alliance	North Antrim	1987	Gareth Williams	5,140	12.4	3
Alliance	North Down	1983	John Cushnahan	9,015	22.1	2
Alliance	North Down	1987	John Cushnahan	7,932	19.4	3
Alliance	North Down	1992	Addie Morrow	6,611	14.7	3
Alliance	North Down	1997	Oliver Napier	7,554	20.7	3
Alliance	South Antrim	1983	Gordon Mawhinney	4,612	11.9	3
Alliance	South Antrim	1987	Gordon Mawhinney	5,808	16.0	2
Alliance	South Antrim	1992	John Blair	5,244	12.4	3
Alliance	South Antrim	1997	David Ford	4,668	11.6	3
Alliance	Strangford	1983	Addie Morrow	6,171	15.8	3
Alliance	Strangford	1987	Addie Morrow	7,553	20.3	2
Alliance	Strangford	1992	Kieran McCarthy	7,585	16.9	3
Alliance	Strangford	1997	Kieran McCarthy	5,467	13.1	3
BNP	Barking	2005	Richard Barnbrook	4,916	16.9	3
BNP	Barking	2010	Nick Griffin	6,620	14.8	3
BNP	Burnley	2001	Steve Smith	4,151	11.3	4
BNP	Burnley	2005	Len Starr	4,003	10.1	5
BNP	Dewsbury	2005	David Exley	5,066	13.1	4
BNP	Oldham West and Royton	2001	Nick Griffin	6,552	16.4	3
BNP	Rotherham	2010	Marlene Guest	3,906	10.4	4
Buckinghamshire Campaign for Democracy	Buckingham	2010	John Stevens	10,331	21.4	2
Burnley First	Burnley	2005	Harry Brooks	5,786	14.8	3
Green	Brighton Pavilion	2005	Keith Taylor	9,571	22.0	3
Green	Lewisham Deptford	2005	Darren Johnson	3,367	11.4	4
Green	Norwich South	2010	Adrian Ramsay	7,095	14.9	4
Independent	Fermanagh and South Tyrone	2010	Rodney Connor	21,300	41.5	2
Independent	Ealing Southall	2001	Avtar Lit	5,764	12.3	3
Independent	Fermanagh and South Tyrone	2001	Jim Dixon	6,843	13.2	4
Independent	Sedgefield	2005	Reg Keys	4,252	10.3	4
Independent	West Tyrone	2005	Kieran Deeny	11,905	27.4	2
Independent Labour	West Bromwich West	1997	Richard Silvester	8,546	23.3	2
Liberal	Liverpool West Derby	2001	Steve Radford	4,601	14.9	2
Liberal	Liverpool West Derby	2005	Steve Radford	3,606	11.8	3
National Democrats	West Bromwich West	1997	Steve Edwards	4,181	11.4	3
Orkney and Shetland Movement	Orkney and Shetland	1987	John Goodlad	3,095	14.5	4
People's Justice	Birmingham Sparkbrook and Small Heath	2001	Shafaq Hussain	4,770	13.0	3
Progressive Unionist	Belfast East	2001	David Ervine	3,669	10.0	4
Progressive Unionist	Belfast South	1997	David Ervine	5,687	14.4	3
Protestant Unionist	Belfast North	1987	George Seawright	5,671	15.4	3
Real Unionist	North Down	1987	Bob McCartney	14,467	35.4	2
Respect	Birmingham Sparkbrook and Small Heath	2005	Salma Yaqoob	10,498	27.5	2
Respect	East Ham	2005	Abdul Khaliq Mian	8,171	20.7	2
Respect	Poplar and Canning Town	2005	Oliur Rahman	6,573	17.2	3
Respect	West Ham	2005	Lindsey German	6,039	19.5	2
Scottish Militant Labour	Glasgow Pollok	1992	Tommy Sheridan	6,287	19.3	2
Scottish Socialist	Glasgow Pollok	1997	Tommy Sheridan	3,639	11.1	3
Sinn Féin	Belfast North	1997	Gerry Kelly	8,375	20.2	3
Sinn Féin	Fermanagh and South Tyrone	1997	Gerry McHugh	11,174	23.1	2
Sinn Féin	Foyle	1997	Mitchel McLaughlin	11,445	23.9	2
Sinn Féin	Newry and Armagh	1997	Pat McNamee	11,218	21.1	3
Sinn Féin	South Down	1997	Mick Murphy	5,127	10.4	3
Sinn Féin	Upper Bann	1997	Bernadette O'Hagan	5,773	12.1	3
Sinn Féin	West Tyrone	1997	Pat Doherty	14,280	30.9	3
Socialist Labour	Glasgow North East	2005	Doris Kelly	4,036	14.2	3
TUV	North Antrim	2010	Jim Allister	7,114	16.8	2
UKIP	Buckingham	2010	Nigel Farage	8,410	17.4	3
UKIP	South Staffordshire	2005	Malcolm Hurst	2,675	10.4	4
