Name	Subdivisions	Area (km²)	Population (1 July 2005 est.)	Population density (per km²)	Capital
Antigua and Barbuda	Parishes	440	85,632	195	St. John's
Antigua and Barbuda	Barbuda	161	1,370	9.65	Codrington
Antigua and Barbuda	Redonda	2	0	0	n/a
Barbados	Parishes	431	284,589	660	Bridgetown
Dominica	Parishes	754	72,660	96.3	Roseau
Grenada	Parishes	344	110,000	319.8	St. George’s
Saint Kitts and Nevis	Parishes	261	42,696	163.5	Basseterre
Saint Kitts and Nevis	Nevis	93	12,106	130.1	Charlestown
Saint Lucia	Quarters	616	173,765	282	Castries
Saint Vincent and the Grenadines	Parishes	389	120,000	308.4	Kingstown
Trinidad and Tobago	Regional corporations	5,131	1,299,953	253.3	Port of Spain
Trinidad and Tobago	Tobago	300	54,000	180	Scarborough
