Country	Skip	Third	Second	Lead
Canada	Kaitlyn Lawes	Jenna Loder	Liz Peters	Sarah Wazney
Denmark	Madeleine Dupont	Jeanne Ellegaard	Mona Sylvest Nielsen	Lisa Sylvest Nielsen
Germany	Frederike Templin	Pia-Lisa Schöll	Ann Kathrin Bastian	Simone Ackermann
Japan	Satsuki Fujisawa	Shiori Fujisawa	Yui Okabe	Madoka Shinoo
Norway	Anneline Skårsmoen	Kjersti Husby	Rita Nerlien	Hanne Munkvold
Russia	Ludmila Privivkova	Margarita Fomina	Daria Kozlova	Ekaterina Galkina
Scotland	Eve Muirhead	Kerry Barr	Vicki Adams	Sarah MacIntyre
Sweden	Cecilia Östlund	Sara Carlsson	Anna Domeij	Liselotta Lennartsson
Switzerland	Michèle Jäggi	Marisa Winkelhausen	Nicole Schwagli	Isabel Kurt
United States	Nina Spatola	Rebecca Hamilton	Anna Plys	Jenna Haag
