Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Runner-up	1986	Vienna , Austria	Hard (i)	Gary Donnelly	2–6, 6–7
Winner	1986	Washington , U.S.	Clay	Thierry Tulasne	6–1, 7–6 (7–4)
Runner-up	1987	Palermo , Italy	Clay	Martín Jaite	6–7, 7–6, 4–6
Winner	1989	Hilversum , Netherlands	Clay	Emilio Sánchez	6–2, 6–4
Winner	1990	Munich , Germany	Clay	Thomas Muster	6–4, 6–2
Runner-up	1990	Kitzbühel , Austria	Clay	Horacio de la Peña	4–6, 6–7, 6–2, 2–6
Winner	1991	Auckland , New Zealand	Hard	Jean-Philippe Fleurian	7–6 (7–5) , 7–6 (7–4)
Runner-up	1991	Estoril , Portugal	Clay	Sergi Bruguera	6–7 (7–9) , 1–6
Winner	1991	Hamburg , Germany	Clay	Magnus Gustafsson	6–3, 6–3, 5–7, 0–6, 6–1
Winner	1991	Kitzbühel , Austria	Clay	Magnus Gustafsson	7–6 (7–2) , 7–6 (7–4) , 6–2
Winner	1991	Prague , Czechoslovakia	Clay	Magnus Gustafsson	7–6 (7–5) , 6–2
Winner	1992	Hilversum , Netherlands	Clay	Jordi Arrese	6–2, 6–3, 2–6, 7–5
Winner	1992	San Marino , San Marino	Clay	Francisco Clavet	7–5, 6–2
Winner	1992	Prague , Czechoslovakia	Clay	Franco Davín	6–1, 6–1
Winner	1993	Dubai , U.A.E.	Hard	Fabrice Santoro	6–4, 7–5
Runner-up	1993	Rotterdam , Netherlands	Carpet	Anders Järryd	3–6, 5–7
Winner	1993	Zaragoza , Spain	Clay	Jonas Svensson	3–6, 6–2, 6–1
Runner-up	1993	Estoril , Portugal	Clay	Andriy Medvedev	4–6, 2–6
Runner-up	1993	Gstaad , Switzerland	Clay	Sergi Bruguera	3–6, 4–6
Winner	1994	Hilversum , Netherlands	Clay	Richard Fromberg	7–5, 6–4, 7–6 (9–7)
