S No	Team (A)	Team (B)	Winner	Margin	Match Date
1	India	Pakistan	Pakistan	2 wickets	18 Feb 1987
2	New Zealand	Zimbabwe	New Zealand	4 wickets	23 Oct 1987
3	Australia	England	Australia	7 runs	8 Nov 1987
4	India	West Indies	India	56 runs	2 Jan 1988
5	India	Pakistan	Pakistan	77 runs	28 Oct 1989
6	Pakistan	West Indies	Pakistan	4 wickets	1 Nov 1989
7	Bangladesh	Sri Lanka	Sri Lanka	71 runs	31 Dec 1990
8	India	Sri Lanka	India	7 wickets	4 Jan 1991
9	India	South Africa	India	3 wickets	10 Nov 1991
10	India	South Africa	India	2 runs	24 Nov 1993
11	Sri Lanka	West Indies	West Indies	7 wickets	25 Nov 1993
12	India	West Indies	India	102 runs	27 Nov 1993
13	India	West Indies	India	72 runs	5 Nov 1994
14	India	Sri Lanka	Sri Lanka	Unknown	13 Mar 1996
15	Pakistan	Sri Lanka	Sri Lanka	85 runs	27 May 1997
16	India	Kenya	India	9 wickets	31 May 1998
17	India	England	India	22 runs	19 Jan 2002
18	India	Australia	Australia	37 runs	18 Nov 2003
19	India	Pakistan	Pakistan	6 wickets	13 Nov 2004
20	India	South Africa	South Africa	10 wickets	25 Nov 2005
21	India	Sri Lanka	No result	N/A	8 Feb 2007
22	India	Sri Lanka	India	7 wickets	24 Dec 2009
23	Ireland	South Africa	South Africa	131 runs	15 Mar 2011
24	Ireland	Netherlands	Ireland	6 wickets	18 Mar 2011
25	Kenya	Zimbabwe	Zimbabwe	161 runs	20 Mar 2011
26	India	England	India	95 runs	25 Oct 2011
