Entrant	Constructor	Chassis	Engine	Driver	Rounds
Scuderia Sud Americana	Maserati	250F	Maserati 250F1 2.5 L6	Juan Manuel Fangio	1
Scuderia Sud Americana	Maserati	250F	Maserati 250F1 2.5 L6	Carlos Menditeguy	1
Ken Kavanagh	Maserati	250F	Maserati 250F1 2.5 L6	Jean Behra	1
Ken Kavanagh	Maserati	250F	Maserati 250F1 2.5 L6	Luigi Taramazzo	2
Ken Kavanagh	Maserati	250F	Maserati 250F1 2.5 L6	Ken Kavanagh	2, 5
Jo Bonnier	Maserati	250F	Maserati 250F1 2.5 L6	Harry Schell	1
Jo Bonnier	Maserati	250F	Maserati 250F1 2.5 L6	Jo Bonnier	2–3, 5, 7, 9
Jo Bonnier	Maserati	250F	Maserati 250F1 2.5 L6	Phil Hill	6
Jo Bonnier	Maserati	250F	Maserati 250F1 2.5 L6	Giulio Cabianca	10
Jo Bonnier	Maserati	250F	Maserati 250F1 2.5 L6	Hans Herrmann	10–11
Francesco Godia Sales	Maserati	250F	Maserati 250F1 2.5 L6	Paco Godia	1–2, 5–6
H.H. Gould	Maserati	250F	Maserati 250F1 2.5 L6	Horace Gould	1–3
H.H. Gould	Maserati	250F	Maserati 250F1 2.5 L6	Masten Gregory	3
R.R.C. Walker Racing Team	Cooper - Climax	T43 T45	Climax FPF 2.0 L4	Stirling Moss	1
R.R.C. Walker Racing Team	Cooper - Climax	T43 T45	Climax FPF 2.0 L4	Maurice Trintignant	2–3, 7–11
R.R.C. Walker Racing Team	Cooper - Climax	T43 T45	Climax FPF 2.0 L4	Ron Flockhart	2
R.R.C. Walker Racing Team	Cooper - Climax	T43	Climax FPF 1.5 L4	François Picard	11
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Luigi Musso	1–3, 5–6
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Peter Collins	1–3, 5–8
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Mike Hawthorn	1–3, 5–11
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Wolfgang von Trips	2, 6–10
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Olivier Gendebien	5, 10–11
Scuderia Ferrari	Ferrari	246	Ferrari 143 2.4 V6	Phil Hill	10–11
Scuderia Ferrari	Ferrari	156	Ferrari D156 1.5 V6	Phil Hill	8
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Jean Behra	2–3, 5–11
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Harry Schell	2–3, 5–11
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Maurice Trintignant	6
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Jo Bonnier	10–11
Owen Racing Organisation	BRM	P25	BRM P25 2.5 L4	Ron Flockhart	11
Bernie C. Ecclestone	Connaught - Alta	B	Alta GP 2.5 L4	Bernie Ecclestone	2
Bernie C. Ecclestone	Connaught - Alta	B	Alta GP 2.5 L4	Bruce Kessler	2
Bernie C. Ecclestone	Connaught - Alta	B	Alta GP 2.5 L4	Paul Emery	2
Bernie C. Ecclestone	Connaught - Alta	B	Alta GP 2.5 L4	Jack Fairman	7
Bernie C. Ecclestone	Connaught - Alta	B	Alta GP 2.5 L4	Ivor Bueb	7
Cooper Car Company	Cooper - Climax	T45 T44	Climax FPF 2.0 L4	Jack Brabham	2–3, 5–7, 9–10
Cooper Car Company	Cooper - Climax	T45 T44	Climax FPF 2.0 L4	Roy Salvadori	2–3, 5–11
Cooper Car Company	Cooper - Climax	T45 T44	Climax FPF 2.0 L4	Ian Burgess	7
Cooper Car Company	Cooper - Climax	T45 T44	Climax FPF 2.0 L4	Jack Fairman	11
Cooper Car Company	Cooper - Climax	T45	Climax FPF 1.5 L4	Bruce McLaren	8, 11
Cooper Car Company	Cooper - Climax	T45	Climax FPF 1.5 L4	Jack Brabham	8, 11
Team Lotus	Lotus - Climax	12 16	Climax FPF 2.0 L4 Climax FPF 2.2 L4	Cliff Allison	2–3, 5–8, 10–11
Team Lotus	Lotus - Climax	12 16	Climax FPF 2.0 L4 Climax FPF 2.2 L4	Graham Hill	2–3, 5–7, 9–11
Team Lotus	Lotus - Climax	12 16	Climax FPF 2.0 L4 Climax FPF 2.2 L4	Alan Stacey	7
Team Lotus	Lotus - Climax	16	Climax FPF 1.5 L4	Graham Hill	8
Vandervell Products	Vanwall	VW 5	Vanwall 254 2.5 L4	Stirling Moss	2–3, 5–11
