Week	Date	Opponent	Result	Attendance
1	September 9, 1967	at Houston Oilers	W 25–20	28,003
2	Bye	Bye	Bye	Bye
3	September 24, 1967	at Miami Dolphins	W 24-0	36,272
4	October 1, 1967	at Oakland Raiders	L 23-21	50,268
5	October 8, 1967	Miami Dolphins	W 41–0	45,291
6	October 15, 1967	at San Diego Chargers	L 45-31	43,355
7	October 22, 1967	Houston Oilers	L 24–19	46,365
8	October 29, 1967	Denver Broncos	W 52–9	44,002
9	November 5, 1967	New York Jets	W 42–18	46,642
10	November 12, 1967	at Boston Patriots	W 33–10	23,010
11	November 19, 1967	San Diego Chargers	L 17-16	46,738
12	November 23, 1967	Oakland Raiders	L 44-22	44,020
13	December 3, 1967	Buffalo Bills	W 23-13	41,948
14	December 10, 1967	at New York Jets	W 21–7	62,891
15	December 14, 1967	at Denver Broncos	W 38–24	31,660
