Title	Series	Director	Production Number	Release date
Book Revue	LT	Bob Clampett	8-15, BR 1234	1946-01-05
Baseball Bugs	LT	Friz Freleng	12-14	1946-02-02
Holiday for Shoestrings	MM	Friz Freleng	7-14	1946-02-23
Quentin Quail	MM	Chuck Jones	6-15	1946-03-02
Baby Bottleneck	LT	Bob Clampett	12-15, BR 1256	1946-03-16
Hare Remover	MM	Frank Tashlin (uncredited)	10-14	1946-03-23
Daffy Doodles	MM	Robert McKimson	13-15, BR 1307	1946-04-06
Hollywood Canine Canteen	MM	Robert McKimson	11-14	1946-04-20
Hush My Mouse	LT	Chuck Jones	13-14, BR 1258	1946-05-04
Hair-Raising Hare	MM	Chuck Jones	1-15	1946-05-25
Kitty Kornered	LT	Bob Clampett	1-16	1946-06-08
Hollywood Daffy	MM	Friz Freleng (uncredited)	2-15	1946-06-22
Acrobatty Bunny	LT	Robert McKimson	3-15	1946-06-29
Eager Beaver, The	MM	Chuck Jones	2-16, BR 1354	1946-07-13
Great Piggy Bank Robbery, The	LT	Bob Clampett	M-4-15	1946-07-20
Bacall to Arms	MM	Bob Clampett	1017	1946-08-03
Of Thee I Sting	LT	Friz Freleng	3-16, BR 1260	1946-08-17
Walky Talky Hawky	MM	Robert McKimson	4-16, BR 1353	1946-08-31
Racketeer Rabbit	LT	Friz Freleng	M-5-15	1946-09-14
Fair and Worm-er	MM	Chuck Jones	5-16, BR 1401	1946-09-28
Big Snooze, The	LT	Bob Clampett (uncredited)	L-6-16	1946-10-05
The Mouse-Merized Cat	MM	Robert McKimson	7-15, BR 1404	1946-10-19
Mouse Menace	LT	Arthur Davis	1028, BR 1358	1946-11-02
Rhapsody Rabbit	MM	Friz Freleng	1040	1946-11-09
Roughly Squeaking	LT	Chuck Jones	7-16, BR 1357	1946-11-23
