Rank	Name	Height m (ft)	Floors	Year
1	Burj Khalifa	metres (ft)	163	2010
2	Princess Tower	metres (ft)	101	2012
3	23 Marina	metres (ft)	90	2012
4	Elite Residence	metres (ft)	87	2012
5	Almas Tower	metres (ft)	68	2008
6=	JW Marriott Marquis Dubai Tower 1	metres (ft)	77	2012
6=	JW Marriott Marquis Dubai Tower 2	metres (ft)	77	2012
8	Emirates Office Tower	metres (ft)	54	2000
9	The Torch	metres (ft)	79	2011
10	Rose Tower	metres (ft)	72	2007
11	Al Yaqoub Tower *	metres (ft)	72	2011
12	The Index	metres (ft)	80	2010
13	Burj Al Arab	metres (ft)	60	1999
14	Blue Tower	metres (ft)	72	2010
15	Ocean Heights	metres (ft)	83	2010
16	Jumeirah Emirates Towers Hotel	metres (ft)	56	2000
17	Cayan Tower	metres (ft)	76	2013
18	The Address Downtown Dubai	metres (ft)	63	2008
19	Emirates Crown	metres (ft)	63	2008
20	Khalid Al Attar Tower 2	metres (ft)	66	2011
21	Islamic Bank Office Tower	metres (ft)	49	2011
22=	Millennium Tower	metres (ft)	60	2006
22=	Sulafa Tower	metres (ft)	75	2010
24	D1 *	metres (ft)	80	2013
25	Marina Pinnacle	metres (ft)	73	2011
26	JAL Hotel	metres (ft)	60	2010
27	21st Century Tower	metres (ft)	55	2003
28=	Al Kazim Tower 1	metres (ft)	53	2008
28=	Al Kazim Tower 2	metres (ft)	53	2008
30	Ubora Tower 1	metres (ft)	58	2010
31	Islamic Bank Residential Tower	metres (ft)	51	2011
32	Vision Tower	metres (ft)	60	2008
33	Conrad Dubai *	metres (ft)	51	2012
34	Dubai Marriott Harbour Hotel & Suites	metres (ft)	59	2007
35=	Angsana Suites Tower	metres (ft)	49	2007
36	Chelsea Tower	metres (ft)	49	2005
37	Al Tayer Tower	metres (ft)	59	2009
38	Rolex Tower	metres (ft)	63	2010
39=	Al Fattan Tower	metres (ft)	51	2006
39=	Oasis Beach Tower	metres (ft)	51	2006
41	AAM Tower	metres (ft)	46	2008
42	The Tower	metres (ft)	54	2002
43	Sama Tower	metres (ft)	51	2009
44=	Churchill Residency	metres (ft)	61	2010
44=	The Buildings by Daman *	metres (ft)	65	2012
46	Park Place	metres (ft)	56	2007
47	Mag 218 Tower	metres (ft)	66	2010
48	Al Tayer Tower	metres (ft)	59	2009
49	The Bay Gate *	metres (ft)	53	2012
50=	Angsana Hotel Tower	metres (ft)	49	2008
50=	Angsana Suites Tower	metres (ft)	49	2007
52	Trident Grand Residence	metres (ft)	45	2009
53	Al Bateen Tower	metres (ft)	55	2013
54	Jumeirah Bay 2	metres (ft)	47	2009
55=	Jumeirah Beach Residence Sadaf 4	metres (ft)	54	2007
55=	Amwaj Rotana Resort	metres (ft)	25	2007
58	Al Seef Tower	metres (ft)	46	2005
59=	Grosvenor House The Residence	metres (ft)	48	2010
59=	Grosvenor House West Marina Beach	metres (ft)	48	2005
59=	Al Rostamani Maze Tower	metres (ft)	56	2010
59=	Latifa Tower	metres (ft)	56	2010
59=	Le Rêve	metres (ft)	50	2006
64=	Marina Heights Tower	metres (ft)	55	2006
64=	Executive Tower M	metres (ft)	52	2009
67=	Jumeirah Beach Residence Bahar 1	metres (ft)	52	2007
67=	Marina Crown	metres (ft)	52	2006
67=	Tamani Hotel Marina	metres (ft)	54	2006
69	Nassima Tower	metres (ft)	49	2010
70	Dubai Mixed-Use Towers	metres (ft)	61	2013
71	The Citadel	metres (ft)	48	2008
72	MBK Tower	metres (ft)	59	2010
73	Shangri-La Hotel	metres (ft)	43	2003
74=	Jumeirah Beach Residence Bahar 7	metres (ft)	49	2007
74=	Jumeirah Beach Residence Bahar 3	metres (ft)	49	2007
76	Al Salam Tecom Tower	metres (ft)	47	2008
77=	Jumeirah Beach Residence Bahar 5	metres (ft)	48	2007
77=	Dubai Mall Hotel	metres (ft)	37	2008
79=	Burjside Boulevard	metres (ft)	49	2013
79=	Concorde Tower	metres (ft)	45	2008
79=	Dubai Jewel Tower	metres (ft)	43	2008
79=	Horizon Tower	metres (ft)	45	2006
79=	Platinum Tower	metres (ft)	44	2012
84	Executive Tower B	metres (ft)	47	2008
85=	Lake Terrace	metres (ft)	40	2008
85=	Sidra Tower	metres (ft)	45	2009
87	Dubai Tower	metres (ft)	45	2011
88=	Etisalat Tower 2	metres (ft)	33	2007
88=	Mesk Tower	metres (ft)	40	2003
88=	Murjan Tower	metres (ft)	40	2003
88	Capricorn Tower	metres (ft)	46	2003
92=	Jumeirah Beach Residence Murjan 1	metres (ft)	46	2007
92=	Jumeirah Beach Residence	metres (ft)	46	2007
92=	Jumeirah Beach Residence Sadaf 6	metres (ft)	46	2007
92=	Jumeirah Beach Residence Sadaf 8	metres (ft)	46	2007
92=	Dubai World Trade Center	metres (ft)	39	1979
97	Marina Terrace	metres (ft)	38	2006
98	Tiffany Towers	metres (ft)	45	2009
99=	Bay Central 2 *	metres (ft)	50	2012
99=	Mazaya Business Avenue 1	metres (ft)	50	2011
99=	Mazaya Business Avenue 2	metres (ft)	50	2011
99=	Mazaya Business Avenue 3	metres (ft)	50	2011
99=	Jumeirah Beach Residence Sadaf 8	metres (ft)	45	2007
