Game	March	Opponent	Score	Decision	Record
66	2	Philadelphia Flyers	5 - 4 SO	Valiquette	34-24-8
67	4	New York Islanders	4 - 3 SO	Lundqvist	34-24-9
68	6	@ New York Islanders	4 - 1	Lundqvist	35-24-9
69	9	Boston Bruins	1 - 0 SO	Lundqvist	36-24-9
70	10	@ Buffalo Sabres	3 - 2 SO	Lundqvist	37-24-9
71	14	@ Florida Panthers	3 - 2	Lundqvist	37-25-9
72	15	@ Tampa Bay Lightning	3 - 0	Lundqvist	37-26-9
73	18	Pittsburgh Penguins	5 - 2	Lundqvist	38-26-9
74	19	@ New Jersey Devils	2 - 1 SO	Lundqvist	39-26-9
75	21	@ Philadelphia Flyers	4 - 3 SO	Valiquette	39-26-10
76	25	Philadelphia Flyers	2 - 1 OT	Lundqvist	39-26-11
77	27	New Jersey Devils	3 - 2	Lundqvist	40-26-11
78	30	@ Pittsburgh Penguins	3 - 1	Lundqvist	40-27-11
79	31	Pittsburgh Penguins	2 - 1 OT	Lundqvist	41-27-11
