Year	Entrant	Chassis	Engine	Pts.
1967	Lotus Components Ltd.	Lotus 48 (F2)	Cosworth Straight-4	0
1968	Gold Leaf Team Lotus	Lotus 49	Cosworth V8	6
1968	Gold Leaf Team Lotus	Lotus 49B	Cosworth V8	6
1969	Owen Racing Organisation	BRM P133	BRM V12	1
1969	Owen Racing Organisation	BRM P138	BRM V12	1
1969	Owen Racing Organisation	BRM P139	BRM V12	1
1970	Owen Racing Organisation	BRM P153	BRM V12	2
1970	Yardley Team BRM	BRM P153	BRM V12	2
1971	Bruce McLaren Motor Racing	McLaren M14A	Cosworth V8	0
1971	Bruce McLaren Motor Racing	McLaren M19A	Cosworth V8	0
1972	Marlboro BRM	BRM P160B	BRM V12	0
1973	UOP Shadow Racing Team	Shadow DN1	Cosworth V8	4
1977	Shadow Racing Team	Shadow DN8	Cosworth V8	0
