Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1978	5	0	1	3	0	16.2	11.4	$21,395	39th	Hagan Racing
1979	31	0	2	13	0	12.8	16.3	$134,652	10th	Hagan Racing
1980	31	1	6	16	0	11.4	15.1	$222,501	8th	Hagan Racing
1981	31	0	8	17	2	8.5	12.7	$348,703	4th	Hagan Racing
1982	30	0	17	21	2	7.6	10.7	$398,635	3rd	Hagan Racing
1983	30	1	11	20	3	7.0	12.1	$388,419	5th	Hagan Racing
1984	30	2	17	24	2	5.8	8.3	$767,716	1st	Hagan Racing
1985	28	1	8	17	4	7.5	13.1	$694,509	7th	Hagan Racing
1986	29	1	5	10	1	9.5	15.9	$522,235	12th	Hagan Racing
1987	29	1	13	22	4	7.1	11.1	$805,054	3rd	Junior Johnson & Associates
1988	29	1	11	18	1	12.8	10.8	$950,781	4th	Junior Johnson & Associates
1989	29	2	9	11	0	13.2	15.1	$703,806	10th	Junior Johnson & Associates
1990	29	0	4	9	0	18.9	16.4	$450,230	15th	Precision Products Racing
1991	29	0	1	7	1	22.6	20.0	$348,898	18th	Hagan Racing
1992	29	0	4	16	0	15.6	13.2	$600,381	8th	Hagan Racing
1993	30	0	0	10	0	21.9	18.4	$531,717	18th	Hagan Racing
1994	31	3	6	14	0	14.9	14.3	$1,125,921	7th	Hendrick Motorsports
1995	31	3	14	17	1	15.6	12.2	$1,558,691	6th	Hendrick Motorsports
1996	31	2	21	24	4	10.6	8.2	$4,030,648	1st	Hendrick Motorsports
1997	32	1	8	20	0	19.2	12.9	$2,270,144	6th	Hendrick Motorsports
1998	33	1	5	15	0	20.1	16.5	$2,054,163	9th	Hendrick Motorsports
1999	34	1	1	7	0	24.6	20.1	$2,475,365	12th	Hendrick Motorsports
2000	32	0	3	6	1	28.7	19.1	$2,239,716	17th	Hendrick Motorsports
2001	36	0	1	3	0	30.8	24.1	$3,011,901	23rd	Hendrick Motorsports
2002	36	0	1	4	0	27.2	22.9	$3,244,240	24th	Hendrick Motorsports
2003	36	1	4	9	1	20.4	16.7	$4,283,625	10th	Hendrick Motorsports
2004	36	0	0	6	0	26.9	22.3	$3,745,242	26th	Hendrick Motorsports
2005	14	0	0	1	0	29.4	29.4	$1,202,520	40th	Hendrick Motorsports Joe Gibbs Racing
2006	17	0	1	1	0	35.7	29.3	$1,547,359	41st	Hall of Fame Racing Hendrick Motorsports
2007	3	0	0	0	0	35.3	31.7	$307,469	58th	Michael Waltrip Racing
2008	10	0	0	0	0	31.1	27.3	$939,617	46th	Petty Enterprises Gillett Evernham Motorsports
2009	6	0	0	0	0	39.5	35.8	$721,403	51st	Prism Motorsports Carter Simo Racing
2010	2	0	0	0	0	40.0	40.5	$130,190	68th	Stavola Labonte Racing Whitney Motorsports
2011	8	0	0	0	0	40.4	31.4	$954,327	39th	FAS Lane Racing
2012	4	0	0	0	0	34.0	20.8	$606,945	44th	FAS Lane Racing
