Place	Player	Country	Score	To par	Money ( $ )
T1	Ángel Cabrera	Argentina	68-68-69-71=276	–12	Playoff
T1	Chad Campbell	United States	65-70-72-69=276	–12	Playoff
T1	Kenny Perry	United States	68-67-70-71=276	–12	Playoff
4	Shingo Katayama	Japan	67-73-70-68=278	–10	360,000
5	Phil Mickelson	United States	73-68-71-67=279	–9	300,000
T6	John Merrick	United States	68-72-74-66=280	–8	242,813
T6	Steve Flesch	United States	71-74-68-67=280	–8	242,813
T6	Tiger Woods	United States	70-72-70-68=280	–8	242,813
T6	Steve Stricker	United States	72-69-68-71=280	–8	242,813
T10	Hunter Mahan	United States	66-75-71-69=281	–7	187,500
T10	Sean O'Hair	United States	68-76-68-69=281	–7	187,500
T10	Jim Furyk	United States	66-74-68-73=281	–7	187,500
