Draw	Language	Artist	Song	English translation	Place	Points
01	French	Hugues Aufray	" Dès que le printemps revient "	Once spring returns	4	14
02	Dutch	Anneke Grönloh	" Jij bent mijn leven "	You are my life	10	2
03	Norwegian	Arne Bendiksen	" Spiral "	—	8	6
04	Danish	Bjørn Tidmand	" Sangen om dig "	The song about you	9	4
05	Finnish	Lasse Mårtenson	" Laiskotellen "	Idling	7	9
06	German	Udo Jürgens	" Warum nur warum? "	Only why, why?	6	11
07	French	Rachel	" Le chant de Mallory "	Mallory's song	4	14
08	English	Matt Monro	" I Love the Little Things "	—	2	17
09	German	Nora Nova	" Man gewöhnt sich so schnell an das Schöne "	How quickly we get used to nice things	13	0
10	French	Romuald	" Où sont-elles passées "	Where have they gone?	3	15
11	Portuguese	António Calvário	" Oração "	Prayer	13	0
12	Italian	Gigliola Cinquetti	" Non ho l'età "	I'm not old enough	1	49
13	Serbo-Croatian	Sabahudin Kurt	" Život je sklopio krug "	Life has come full circle	13	0
14	Italian	Anita Traversi	" I miei pensieri "	My thoughts	13	0
15	French	Robert Cogoi	" Près de ma rivière "	Nearby my river	10	2
16	Spanish	Tim, Nelly & Tony	" Caracola "	Conch	12	1
