Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Mar 20	Greater Daytona Senior Classic	Florida	150000	Gene Littler (1)	203 (-13)	25000
May 22	Hall of Fame Tournament	North Carolina	150000	Rod Funseth (1)	198 (-18)	25000
Jun 5	Gatlin Brothers Seniors Golf Classic	Nevada	200000	Don January (6)	208 (-8)	33500
Jun 12	Senior Tournament Players Championship	Ohio	250000	Miller Barber (7)	278 (-10)	40000
Jun 26	Peter Jackson Champions	Canada	200000	Don January (7)	274 (-10)	33250
Jul 3	Marlboro Classic	Massachusetts	150000	Don January (8)	273 (-11)	25000
Jul 10	Greater Syracuse Senior's Pro Classic	New York	150000	Gene Littler (2)	275 (-9)	25000
Jul 17	Merrill Lynch/Golf Digest Commemorative Pro-Am	Rhode Island	150000	Miller Barber (8)	200 (-16)	25000
Jul 25	U.S. Senior Open	Minnesota	175000	Billy Casper (3)	288 (4)	30566
Aug 21	Denver Post Champions of Golf	Colorado	150000	Don January (9)	271 (-17)	25000
Sep 4	Citizens Union Senior Golf Classic	Kentucky	150000	Don January (10)	269 (-19)	25000
Sep 25	World Seniors Invitational	North Carolina	152000	Doug Sanders (1)	283 (-5)	25000
Oct 2	United Virginia Bank Seniors	Virginia	150000	Miller Barber (9)	211 (-5)	25000
Oct 16	Suntree Classic	Florida	135000	Don January (11)	274 (-14)	22500
Oct 23	Hilton Head Seniors International	South Carolina	150000	Miller Barber (10)	281 (-7)	25000
