County	Per capita income	Median household income	Median family income	Population	Number of households
Johnson	$37,882	$73,733	$90,380	544,179	212,882
Scott	$28,872	$58,341	$65,000	4,936	1,983
Greeley	$28,698	$55,972	$63,967	1,247	525
Ness	$27,622	$47,639	$55,875	3,107	1,365
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
McPherson	$26,467	$53,026	$68,016	29,180	11,748
Butler	$26,436	$56,290	$66,581	65,880	23,992
Miami	$26,218	$60,539	$70,243	32,787	12,161
Leavenworth	$25,925	$61,107	$73,491	76,227	26,447
Kansas	$25,907	$49,424	$62,424	2,853,118	1,112,096
Shawnee	$25,705	$47,464	$61,250	177,934	72,600
Jefferson	$25,580	$56,886	$65,011	19,126	7,366
Sedgwick	$25,297	$47,848	$61,137	498,365	193,502
Lane	$25,261	$42,311	$57,768	1,750	799
Grant	$25,188	$55,514	$60,822	7,829	2,716
Pottawatomie	$25,157	$53,430	$66,591	21,604	7,878
Graham	$25,026	$43,980	$62,788	2,597	1,196
Sheridan	$24,933	$46,739	$52,854	2,556	1,099
Edwards	$24,899	$39,226	$50,128	3,037	1,302
Clay	$24,858	$42,490	$56,146	8,535	3,559
Douglas	$24,851	$45,831	$68,282	110,826	43,576
Republic	$24,731	$38,286	$50,028	4,980	2,274
Clark	$24,605	$37,931	$60,865	2,215	923
Ellis	$24,093	$44,543	$62,176	28,452	11,908
Woodson	$23,986	$30,385	$45,219	3,309	1,524
Morris	$23,967	$42,083	$54,167	5,923	2,554
Meade	$23,909	$46,658	$52,694	4,575	1,713
Thomas	$23,883	$47,033	$64,462	7,900	3,196
Coffey	$23,744	$47,171	$57,261	8,601	3,497
Barton	$23,688	$43,763	$51,780	27,674	11,283
Saline	$23,669	$45,162	$57,434	55,606	22,416
Smith	$23,644	$39,836	$47,699	3,853	1,748
Rush	$23,608	$39,435	$48,616	3,307	1,511
Pratt	$23,585	$43,583	$56,250	9,656	3,956
Barber	$23,542	$38,875	$48,836	4,861	2,139
Rooks	$23,435	$37,861	$47,628	5,181	2,238
Mitchell	$23,350	$44,247	$54,502	6,373	2,790
Jackson	$23,306	$51,759	$59,906	13,462	5,228
Wallace	$23,269	$43,953	$56,964	1,485	620
Russell	$23,243	$36,135	$45,720	6,970	3,173
Stafford	$23,171	$39,375	$51,414	4,437	1,907
Sumner	$23,114	$49,582	$62,429	24,132	9,454
