Team	Copa Libertadores 1999	Copa Mercosur 1999	Copa CONMEBOL 1999	Intercontinental Cup 1999
Corinthians	Quarterfinals	Quarterfinals	Did not qualify	N/A
Cruzeiro	Did not qualify	Quarterfinals	Did not qualify	N/A
CSA	Did not qualify	Did not qualify	Runner-up	N/A
Flamengo	Did not qualify	Champions	Did not qualify	N/A
Grêmio	Did not qualify	Group stage	Did not qualify	N/A
Palmeiras	Champions	Runner-up	Did not qualify	Runner-up
Paraná	Did not qualify	Did not qualify	Quarterfinals	N/A
São Paulo	Did not qualify	Group stage	Did not qualify	N/A
São Raimundo (AM)	Did not qualify	Did not qualify	Semifinals	N/A
Vasco	Round of 16	Group stage	Did not qualify	N/A
Vila Nova	Did not qualify	Did not qualify	Round of 16	N/A
