Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Murcia	30	40	19	2	9	83	39	+44
2	Atlético Tetuán	30	39	16	7	7	56	33	+23
3	Granada CF	30	38	17	4	9	54	25	+29
4	UD España Tanger	30	37	15	7	8	56	47	+9
5	Real Betis	30	34	14	6	10	48	47	+1
6	Jerez CD	30	32	13	6	11	60	49	+11
7	Real Jaén	30	32	12	8	10	69	58	+11
8	CD Badajoz	30	31	14	3	13	51	60	-9
9	CD Tenerife	30	29	14	1	15	51	47	+4
10	CD Sabadell CF	30	28	11	6	13	51	54	-3
11	CF Extremadura	30	28	12	4	14	54	69	-15
12	CD Castellón	30	27	12	3	15	50	57	-7
13	CD San Fernando	30	26	10	6	14	57	69	-12
14	CD Tarrasa	30	25	11	3	16	52	64	-12
15	Levante UD	30	19	8	3	19	51	65	-14
16	Balomp. Linense	30	15	6	3	21	37	97	-60
