Pick #	MLS Team	Player	Position	Affiliation
11	Chicago Fire	Leonard Griffin	D	UCLA
12	Columbus Crew	Chris Wingert	D	St. John's University
13	Los Angeles Galaxy	* Josh Gardner	M	University of Cincinnati
14	Los Angeles Galaxy	* Ned Grabavoy	M	Indiana University
15	Colorado Rapids	Adolfo Gregorio	M	UCLA
16	Colorado Rapids	Adrian Cann	D	University of Louisville
17	Kansas City Wizards	Will Hesmer	GK	Wake Forest University
18	MetroStars	Seth Stammler	D	University of Maryland
19	Chicago Fire	Matt Pickens	GK	SMS (now Missouri State)
20	Chicago Fire	Sumed Ibrahim	M	University of Maryland
