Length/Weight of Missile	Diameter of torsion spring	Height of torsion spring	Machine length	Machine width
31cm	3.4cm	22.1cm	Hand-held	Hand-held
54cm	5.6cm	36.4cm	1.4	0.8 m
54cm	6.0cm	39.0cm	1.5 m	0.9 m
69cm	7.5cm	48.8cm	1.9 m	1.1 m
77cm	8.3cm	54.0cm	2.1 m	1.2 m
77cm	8.4cm	54.6cm	2.1 m	1.2 m
123cm	13.6cm	88.4cm	3.4 m	1.9 m
10 minas	21.2cm	1.91 m	6.4 m	3.2 m
15 minas	24.3cm	2.19 m	7.3 m	3.6 m
20 minas	26.8cm	2.41 m	8.0 m	4.0 m
30 minas	30.7cm	2.76 m	9.2 m	4.6 m
50 minas	36.3cm	3.27 m	10.9 m	5.4 m
1 talent	38.4cm	3.46 m	11.5 m	5.8 m
