Region	Date	Label	Format	Catalog
Sweden	2002	Playground Music Scandinavia	CD-ROM	None
Scandinavia	2001	Playground Music Scandinavia	CD , Maxi	MAGIK MUZIK 801-2
Netherlands	June 22, 2001	Magik Muzik	CD , Single	Magik Muzik 801-1
Netherlands	2001	Magik Muzik	vinyl , 12" , Promo	BHMM 801-5P
Netherlands	June 22, 2001	Magik Muzik	CD , Maxi	Magik Muzik 801-2
Netherlands	2001	Magik Muzik	2 x vinyl , 12"	Magik Muzik 801-5
Netherlands	December 11, 2006	Magik Muzik	vinyl , 12" , Limited Edition , Picture Disc	Magik Muzik 835-6
United States	2001	Nettwerk	2 x vinyl , 12" , Promo	0 6700 33122 1 9
United States	2001	Nettwerk	vinyl , 12"	0 6700 33123 1 8
United Kingdom	2001	Nebula	vinyl , 12" , Promo	NEBDJX016
United Kingdom	2001	Nebula	vinyl , 12" , Promo	NEBDJ016
United Kingdom	April 30, 2001	Nebula	CD , Maxi	NEBCD016
United Kingdom	April 30, 2001	Nebula	vinyl , 12"	NEBTX016
United Kingdom	April 30, 2001	Nebula	vinyl , 12"	NEBT016
United Kingdom	2004	Nebula Classics	vinyl , 12"	NEB016
France	January, 2005	Independence Records	vinyl , 12" , Picture Disc	IR 0435 V
France	January, 2005	Universal Licensing Music (ULM)	vinyl , 12" , Picture Disc	982 696-0
Germany	January 21, 2002	Jive	CD , Maxi	RTD 103.3865.3
Germany	2002	Dos Or Die Recordings	vinyl , 12"	DOS 185
Germany	2002	Dos Or Die Recordings	vinyl , 12"	DOS 195
Germany	December 2006	Kontor Records	vinyl , 12" , Limited Edition , Picture Disc	K579
