Nat.	Name	Moving to	Type	Transfer window	Transfer fee
SCO	Martin Ure	Queen's Park	End of contract	Summer	n/a
SCO	Scott Hadden	Ross County	End of contract	Summer	n/a
SCO	Steven Campbell	Free Agent	End of contract	Summer	n/a
England	Joe Sagar	Free Agent	End of contract	Summer	n/a
SEN	Makhtar N'Diaye	Free Agent	End of contract	Summer	n/a
FRA	Antoine Ponroy	Free Agent	End of contract	Summer	n/a
GER	Stefan Klos	Retired	End of contract	Summer	n/a
Croatia	Dado Pršo	Retired	End of contract	Summer	n/a
SCO	Gavin Rae	Cardiff City	End of contract	Summer	n/a
SCO	Brian Gilmour	Queen of the South	End of contract	Summer	n/a
SWE	Karl Svensson	Caen	Transfer	Summer	£0.7m
ENG	Lee Robinson	Greenock Morton	Loan	Summer	n/a
CZE	Libor Sionko	Copenhagen	Transfer	Summer	£0.09m
Slovakia	Filip Šebo	Valenciennes	Loan	Summer	n/a
SCO	Ian Murray	Norwich City	Transfer	Summer	Free
ENG	Ugo Ehiogu	Sheffield United	Transfer	Winter	Free
SCO	Alan Hutton	Tottenham Hotspur	Transfer	Winter	£9m
NIR	Roy Carroll	Derby County	Transfer	Winter	Free
