Year	Country/Territory	Miss World	National title	Location
2013	Philippines	Megan Young	Miss World Philippines	Bali , Indonesia
2012	China PR	Yu Wenxia	Miss China World	Ordos City , China
2011	Venezuela	Ivian Sarcos	Miss Venezuela World	London, United Kingdom
2010	United States	Alexandria Mills	Miss World United States	Sanya , China
2009	Gibraltar	Kaiane Aldorino	Miss Gibraltar	Johannesburg , South Africa
2008	Russia	Ksenia Sukhinova	Miss Russia	Johannesburg , South Africa
2007	China PR	Zhang Zilin	Miss China World	Sanya , China
2006	Czech Republic	Taťána Kuchařová	Miss Czech Republic	Warsaw , Poland
2005	Iceland	Unnur Birna Vilhjálmsdóttir	Ungfrú Ísland	Sanya , China
2004	Peru	María Julia Mantilla	Miss World Perú	Sanya , China
2003	Ireland	Rosanna Davison	Miss Ireland	Sanya , China
2002	Turkey	Azra Akın	Miss Turkey	London, United Kingdom
2001	Nigeria	Agbani Darego	Most Beautiful Girl in Nigeria	Sun City , South Africa
2000	India	Priyanka Chopra	Femina Miss India	London, United Kingdom
