Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 1	Minnesota	W 100–86 (OT)	Shawn Marion (16)	Tyson Chandler (18)	Jason Terry (7)	American Airlines Center 19,567	14–4
19	December 3	@ Utah	W 93–81 (OT)	Dirk Nowitzki (26)	Tyson Chandler (8)	Jason Terry (7)	EnergySolutions Arena 19,623	15–4
20	December 4	@ Sacramento	W 105–103 (OT)	Dirk Nowitzki (25)	Shawn Marion (8)	José Juan Barea (6)	ARCO Arena 12,900	16–4
21	December 7	Golden State	W 105–100 (OT)	Dirk Nowitzki (25)	Ian Mahinmi (10)	Jason Kidd (7)	American Airlines Center 19,593	17–4
22	December 9	New Jersey	W 102–89 (OT)	Dirk Nowitzki (12)	Dirk Nowitzki (10)	José Juan Barea (13)	American Airlines Center 19,666	18–4
23	December 11	Utah	W 103–97 (OT)	Dirk Nowitzki (31)	Dirk Nowitzki (15)	Jason Kidd (9)	American Airlines Center 20,074	19–4
24	December 13	Milwaukee	L 99–103 (OT)	Dirk Nowitzki (30)	Tyson Chandler (9)	Jason Kidd (10)	American Airlines Center 19,720	19–5
25	December 15	Portland	W 103–98 (OT)	Caron Butler (23)	Tyson Chandler (8)	Jason Kidd (6)	American Airlines Center 19,531	20–5
26	December 17	Phoenix	W 106–91 (OT)	Dirk Nowitzki , Jason Terry (18)	Tyson Chandler (12)	Jason Kidd (8)	American Airlines Center 20,406	21–5
27	December 20	@ Miami	W 98–96 (OT)	Dirk Nowitzki (26)	Shawn Marion (13)	Jason Kidd (7)	American Airlines Arena 20,178	22–5
28	December 21	@ Orlando	W 105–99 (OT)	Caron Butler (20)	Dirk Nowitzki (8)	Jason Kidd (12)	Amway Center 19,057	23–5
29	December 27	@ Oklahoma City	W 103–93 (OT)	Caron Butler (21)	Tyson Chandler (10)	Jason Kidd (10)	Oklahoma City Arena 18,203	24–5
30	December 28	Toronto	L 76–84 (OT)	Jason Terry (18)	Tyson Chandler , Jason Kidd (6)	Jason Terry (6)	American Airlines Center 20,027	24–6
