Date	Opponent	Venue	Result	Attendance
12 August 1989	Motherwell	H	1–1	8,596
19 August 1989	Dundee	A	3–4	13,616
26 August 1989	Dunfermline	H	2–1	9,158
9 September 1989	Hibernian	A	0–2	7,000
16 September 1989	Celtic	H	2–2	16,624
23 September 1989	Hearts	A	1–1	14,008
30 September 1989	St. Mirren	H	0–0	6,643
4 October 1989	Aberdeen	H	2–0	11,879
14 October 1989	Rangers	A	1–2	36,062
21 October 1989	Motherwell	A	2–3	8,100
28 October 1989	Dundee	H	0–0	11,529
4 November 1989	Dunfermline	A	1–1	10,804
8 November 1989	Hibernian	H	1–0	8,247
18 November 1989	Celtic	A	1–0	35,350
25 November 1989	Hearts	H	2–1	12,201
9 December 1989	Aberdeen	A	0–2	15,500
13 December 1989	St. Mirren	A	0–1	2,800
16 December 1989	Rangers	H	1–1	15,947
23 December 1989	Motherwell	H	1–1	6,169
30 December 1989	Dundee	A	1–1	12,803
3 January 1990	Dunfermline	H	1–0	11,148
6 January 1990	Hibernian	A	0–0	6,500
13 January 1990	Celtic	H	2–0	16,635
27 January 1990	Hearts	A	2–3	13,083
3 February 1990	Rangers	A	1–3	39,058
10 February 1990	Aberdeen	H	1–1	10,533
17 February 1990	St. Mirren	H	2–0	5,957
3 March 1990	Celtic	A	0–3	23,541
10 March 1990	Motherwell	A	1–0	4,697
24 March 1990	Dundee	H	1–2	11,918
31 March 1990	Dunfermline	A	1–0	6,945
7 April 1990	Hibernian	H	1–0	6,633
18 April 1990	Aberdeen	A	0–1	10,000
21 April 1990	Rangers	H	0–1	15,996
28 April 1990	Hearts	H	1–1	7,679
5 May 1990	St. Mirren	A	0–0	4,312
