Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 14	Blue Bombers	Exhibition Stadium	L 14–13	27189	0–1–0
2	August 20	Tiger-Cats	Exhibition Stadium	L 28–24	27809	0–2–0
3	August 25	@ Alouettes	Molson Stadium	W 15–10	18522	1–2–0
4	September 4	@ Tiger-Cats	Civic Stadium	L 21–19	26533	1–3–0
5	September 10	Roughriders	Exhibition Stadium	W 27–7	24047	2–3–0
6	September 16	@ Eskimos	Clarke Stadium	T 8–8	21510	2–3–1
6	September 18	@ Lions	Empire Stadium	W 15–7	24428	3–3–1
7	September 24	Rough Riders	Exhibition Stadium	L 29–10	30648	3–4–1
8	September 29	Stampeders	Exhibition Stadium	W 22–19	23546	4–4–1
9	October 7	@ Alouettes	Molson Stadium	W 33–27	19075	5–4–1
10	October 15	Tiger-Cats	Exhibition Stadium	L 37–10	29553	5–5–1
11	October 21	@ Rough Riders	Landsdowne Park	W 21–7	18821	6–5–1
12	October 29	Alouettes	Exhibition Stadium	W 15–9	23316	7–5–1
