Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Steve Baines	DF	41	1	4	1	3	0	48	2
Rod Belfitt	FW	28	6	4	2	3	0	35	8
Mick Butler	MF	9 (1)	2	0	0	0	0	9 (1)	2
Bobby Campbell	FW	11	1	0	0	3	1	14	2
Willie Coulson	MF	2	0	0	0	0	0	2	0
Terry Dolan	MF	29 (1)	1	3	0	3	1	35 (1)	2
Barry Endean	MF	2 (2)	0	0	0	0	0	2 (2)	0
Franny Firth	FW	16	2	0	0	0	0	16	2
Martin Fowler	MF	6 (2)	0	0	0	0	0	6 (2)	0
Paul Garner	DF	16	0	0	0	3	0	19	0
Colin Garwood	FW	12	6	2	0	0	0	14	6
Wayne Goldthorpe	FW	6 (2)	2	0	0	0	0	6 (2)	2
Terry Gray	FW	29	15	4	2	3	2	36	19
Peter Hart	MF	17 (2)	1	0	0	0	0	17 (2)	1
Geoff Hutt	DF	20	0	4	0	3	0	27	0
Jimmy Lawson	MF	22 (3)	4	3	1	0	0	25 (3)	5
Lloyd Maitland	MF	9 (6)	1	1	0	0	0	10 (6)	1
Grahame McGifford	DF	3	0	0	0	0	0	3	0
Bob Newton	FW	16 (2)	5	0	0	0	0	16 (2)	5
Brian O'Neil	MF	38	1	3	0	3	0	44	1
Terry Poole	GK	4	0	0	0	0	0	4	0
John Saunders	DF	17	0	0	0	3	0	20	0
Arnie Sidebottom	DF	9	2	0	0	0	0	9	2
Chris Simpkin	DF	25	0	4	0	0	0	29	0
Steve Smith	MF	41	5	4	0	3	0	48	5
Alan Sweeney	DF	36	0	4	0	0	0	40	0
Dick Taylor	GK	42	0	4	0	3	0	49	0
