Date	Location	Opponent	Irish Points	Opp. Points	Record
11-3-09	HOME	Indianapolis (Exhibition)	97	53	0-0
11-15-09	HOME	Arkansas Pine-Bluff	102	57	1-0
11-19-09	AWAY	Michigan State	68	67	2-0
11-22-09	HOME	Iona	80	45	3-0
11-26-09	Paradise Jam (US Virgin Islands)	San Diego State	84	79	4-0
11-27-09	Paradise Jam (US Virgin Islands)	South Carolina	78	55	5-0
11-28-09	Paradise Jam (US Virgin Islands)	Oklahoma	81	71	6-0
12-2-09	HOME	Eastern Michigan	69	59	7-0
12-8-09	HOME	IPFW	96	60	8-0
12-12-09	HOME	Valpraiso	88	47	9-0
12-20-09	HOME	Charlotte	90	30	10-0
12-29-09	AWAY	Central Florida	85	52	11-0
12-31-09	HOME	Vanderbilt	74	69	12-0
1-4-10	AWAY	Purdue	79	75	13-0
1-9-10	HOME	Villanova	81	46	14-0
1-12-10	HOME	South Florida	81	64	15-0
1-16-10	AWAY	Connecticut	46	70	15-1
1-19-10	AWAY	Louisville	78	60	16-1
1-24-10	HOME	West Virginia	74	66	17-1
1-27-10	HOME	Providence	84	59	18-1
1-30-10	AWAY	Syracuse	74	73	19-1
2-1-10	AWAY	Rutgers	75	63	20-1
2-6-10	HOME	Pittsburgh	86	76	21-1
2-9-10	AWAY	Cincinnati	66	50	22-1
2-14-10	HOME	Depaul	90	66	23-1
2-16-10	AWAY	St. John's	71	76	23-2
2-20-10	AWAY	Georgetown	66	76	23-3
2-23-10	HOME	Marquette	82	67	24-3
2-27-10	AWAY	Seton Hall	72	47	25-3
3-1-10	HOME	Connecticut	51	76	25-4
3-6-10	Conf. Tourn. First Round (Hartford, CT)	Louisville	89	52	26-4
3-7-10	Conf. Tourn. Second Round (Hartford, CT)	St. John's	72	67	27-4
3-8-10	Conf. Tourn. Semi-Finals (Hartford, CT)	Connecticut	44	59	27-5
3-21-10	NCAA Tournament First Round (South Bend, IN)	Cleveland State	86	58	28-5
