Year	Player	Country	Score	Margin of victory	Winners share ( $ )	Honoree(s)
2013	Matt Kuchar	United States	276 (−12)	2 strokes	1160000	Raymond Floyd
2012	Tiger Woods (5)	United States	279 (−9)	2 strokes	1160000	Tom Watson
2011	Steve Stricker	United States	272 (−16)	1 stroke	1160000	Nancy Lopez
2010	Justin Rose	England	270 (−18)	3 strokes	1080000	Seve Ballesteros
2009	Tiger Woods (4)	United States	276 (−12)	1 stroke	1080000	JoAnne Carner and Jack Burke, Jr.
2007	K.J. Choi	South Korea	271 (−17)	1 stroke	1080000	Louise Suggs and Dow Finsterwald
2005	Bart Bryant	United States	272 (−16)	1 stroke	990000	Betsy Rawls and Cary Middlecoff
2004	Ernie Els	South Africa	270 (−18)	4 strokes	945000	Lee Trevino and Joyce Wethered
2003	Kenny Perry (2)	United States	275 (−11)	2 strokes	900000	Julius Boros and William C. Campbell
2002	Jim Furyk	United States	274 (−14)	2 strokes	810000	Kathy Whitworth and Bobby Locke
2001	Tiger Woods (3)	United States	271 (−17)	7 strokes	738000	Payne Stewart
2000	Tiger Woods (2)	United States	269 (−19)	5 strokes	558000	Jack Nicklaus
1999	Tiger Woods	United States	273 (−15)	2 strokes	459000	Ben Hogan
1998	Fred Couples	United States	271 (−17)	4 strokes	396000	Peter Thomson
1997	Vijay Singh	Fiji	202* (−14)	2 strokes	342000	Gary Player
1996	Tom Watson (2)	United States	274 (−14)	2 strokes	324000	Billy Casper
1994	Tom Lehman	United States	268 (−20)	5 strokes	270000	Mickey Wright
1993	Paul Azinger	United States	274 (−14)	1 stroke	252000	Arnold Palmer
1992	David Edwards	United States	273 (−15)	Playoff	234000	Joseph Dey
1991	Kenny Perry	United States	273 (−15)	Playoff	216000	Babe Zaharias
1990	Greg Norman	Australia	216* (E)	1 stroke	180000	Jimmy Demaret
1989	Bob Tway	United States	277 (−11)	2 strokes	160000	Henry Cotton
1988	Curtis Strange	United States	274 (−14)	2 strokes	160000	Patty Berg
1987	Don Pooley	United States	272 (−16)	3 strokes	140000	Old Tom Morris and Young Tom Morris
1986	Hal Sutton	United States	271 (−17)	4 strokes	100000	Roberto De Vicenzo
1985	Hale Irwin (2)	United States	281 (−7)	1 stroke	100000	Chick Evans
1984	Jack Nicklaus (2)	United States	280 (−8)	Playoff	90000	Sam Snead
1983	Hale Irwin	United States	281 (−7)	1 stroke	72000	Tommy Armour
1982	Raymond Floyd	United States	281 (−7)	2 strokes	63000	Glenna Collett-Vare
1981	Keith Fergus	United States	284 (−4)	1 stroke	63000	Harry Vardon
1980	David Graham	Australia	280 (−8)	1 stroke	54000	Byron Nelson
1979	Tom Watson	United States	285 (−3)	3 strokes	54000	Gene Sarazen
1978	Jim Simons	United States	284 (−4)	1 stroke	50000	Francis Ouimet
1977	Jack Nicklaus	United States	281 (−7)	2 strokes	45000	Walter Hagen
