Game	November	Opponent	Score	Record	Points
12	1	@ Buffalo Sabres	2–6	8–3–1	17
13	5	New York Rangers	2–6	8–4–1	17
14	7	@ Pittsburgh Penguins	2–7	8–5–1	17
15	12	Hartford Whalers	5–3	9–5–1	19
16	14	@ Toronto Maple Leafs	0–4	9–6–1	19
17	15	New York Islanders	5–4	10–6–1	21
18	18	@ New York Rangers	2–5	10–7–1	21
19	21	@ Washington Capitals	4–10	10–8–1	21
20	22	Washington Capitals	2–3	10–9–1	21
21	24	Toronto Maple Leafs	6–3	11–9–1	23
22	26	@ Boston Bruins	3–1	12–9–1	25
23	28	@ Minnesota North Stars	3–5	12–10–1	25
