Game	December	Opponent	Score	Record
24	3	@ Minnesota North Stars	4 - 0	10-12-2
25	4	Minnesota North Stars	4 - 4	10-12-3
26	7	Philadelphia Flyers	3 - 3	10-12-4
27	8	@ Philadelphia Flyers	7 - 4	10-13-4
28	11	Boston Bruins	8 - 2	10-14-4
29	14	@ Chicago Black Hawks	2 - 2	10-14-5
30	15	@ Detroit Red Wings	5 - 5	10-14-6
31	17	@ Cleveland Barons	4 - 2	10-15-6
32	18	Detroit Red Wings	6 - 2	11-15-6
33	21	Washington Capitals	5 - 5	11-15-7
34	23	Cleveland Barons	5 - 4	12-15-7
35	28	Philadelphia Flyers	4 - 3	12-16-7
36	30	@ Washington Capitals	3 - 3	12-16-8
37	31	Buffalo Sabres	2 - 2	12-16-9
