School	Location	Mascot	Enrollment	IHSAA Class	# / County
Austin	Austin	Eagles	368	AA	72 Scott
Brownstown Central	Brownstown	Braves	596	AAA	36 Jackson
Charlestown	Charlestown	Pirates	729	AAA	10 Clark
Clarksville	Clarksville	Generals	473	AA	10 Clark
Corydon Central	Corydon	Panthers	774	AAA	31 Harrison
Eastern Pekin	New Pekin	Musketeers	522	AA	88 Washington
North Harrison	Ramsey	Cougars	685	AAA	31 Harrison
Salem	Salem	Lions	627	AAA	88 Washington
Scottsburg	Scottsburg	Warriors	877	AAA	72 Scott
Silver Creek	Sellersburg	Dragons	716	AAA	10 Clark
