Shooter	Event	Rank points	Score points	Total
Ralf Schumann ( GER )	WCF 2007	Defending champion	Defending champion	Defending champion
Oleksandr Petriv ( UKR )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Christian Reitz ( GER )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Sergei Alifirenko ( RUS )	WC Beijing	15	10	25
Leuris Pupo ( CUB )	WC Rio de Janeiro	10	11	21
Iulian Raicea ( ROU )	WC Rio de Janeiro	8	9	17
Ivan Stoukachev ( RUS )	WC Milan	8	7	15
Zhang Penghui ( CHN )	WC Beijing	8	6	14
René Vogn ( DEN )	WC Munich	4	7	11
Jorge Llames ( ESP )	WC Milan	5	6	11
Josef Fiala ( CZE )	WC Munich	5	6	11
