Rank	Building	City	Height (m/ft)	Built
1	Floreasca City Center Sky Tower	Bucharest	m (ft)	2012
2	Basarab Tower	Bucharest	m (ft)	1988
3	Bucharest Tower Center (BTC)	Bucharest	m (ft)	2008
4	Casa Presei Libere	Bucharest	m (ft)	1956
5	Administrative Palace	Satu Mare	m (ft)	1984
6	Asmita T3	Bucharest	m (ft)	2009
7	Palace of the Parliament	Bucharest	m (ft)	1988
8	Bucharest Financial Plaza	Bucharest	m (ft)	1997
9	BRD Tower	Bucharest	m (ft)	2003
10	Charles de Gaulle Plaza	Bucharest	m (ft)	2005
10	Euro Tower	Bucharest	m (ft)	2012
11	InterContinental Bucharest	Bucharest	m (ft)	1970
12	Monaco Towers	Bucharest	m (ft)	2009
12	Nusco Tower	Bucharest	m (ft)	2010
13	Cathedral Plaza	Bucharest	m (ft)	2010
13	City Gate Towers	Bucharest	m (ft)	2009
14	Palas Residential Tower	Iași	m (ft)	2012
15	Millennium Business Center	Bucharest	m (ft)	2006
16	Howard Johnson Hotel Bucharest	Bucharest	m (ft)	2001
16	Alia Apartments	Bucharest	m (ft)	2009
17	Business Development Center Bucharest	Bucharest	m (ft)	2004
18	UN Plaza	Bucharest	m (ft)	1978
19	Petre Andrei University of Iași	Iași	m (ft)	2004
19	Fructus Tower	Timișoara	m (ft)	2011
19	PGV Tower	Bucharest	m (ft)	2006
19	Rin Grand Hotel	Bucharest	m (ft)	2008
20	BOS Tower	Bucharest	m (ft)	2007
20	Premium Plaza	Bucharest	m (ft)	2007
21	Griro Tower	Bucharest	m (ft)	1984
21	Bucharest Corporate Center	Bucharest	m (ft)	2007
