Year	Home	Score	Away	Date	Venue
1989	Scotland	37 - 21	Ireland	4 March	Murrayfield , Edinburgh
1990	Ireland	10 - 13	Scotland	3 February	Lansdowne Road , Dublin
1991	Scotland	28 - 25	Ireland	16 March	Murrayfield , Edinburgh
1992	Ireland	10 - 18	Scotland	15 February	Lansdowne Road , Dublin
1993	Scotland	15 - 3	Ireland	16 January	Murrayfield , Edinburgh
1994	Ireland	6 - 6	Scotland	5 March	Lansdowne Road , Dublin
1995	Scotland	26 - 13	Ireland	4 February	Murrayfield , Edinburgh
1996	Ireland	10 - 16	Scotland	20 January	Lansdowne Road , Dublin
1997	Scotland	38 - 10	Ireland	1 March	Murrayfield , Edinburgh
1998	Ireland	16 - 17	Scotland	7 February	Lansdowne Road , Dublin
1999	Scotland	30 - 13	Ireland	20 March	Murrayfield , Edinburgh
2000	Ireland	44 - 22	Scotland	19 February	Lansdowne Road , Dublin
2001	Scotland	32 - 10	Ireland	22 September	Murrayfield , Edinburgh
2002	Ireland	43 - 22	Scotland	2 March	Lansdowne Road , Dublin
2003	Scotland	6 - 36	Ireland	16 February	Murrayfield , Edinburgh
2004	Ireland	37 - 16	Scotland	27 March	Lansdowne Road , Dublin
2005	Scotland	13 - 40	Ireland	12 February	Murrayfield , Edinburgh
2006	Ireland	15 - 9	Scotland	11 March	Lansdowne Road , Dublin
2007	Scotland	18 - 19	Ireland	10 March	Murrayfield , Edinburgh
2008	Ireland	34 - 13	Scotland	9 March	Croke Park , Dublin
2009	Scotland	15 - 22	Ireland	14 March	Murrayfield , Edinburgh
2010	Ireland	20 - 23	Scotland	20 March	Croke Park , Dublin
2011	Scotland	18 - 21	Ireland	27 February	Murrayfield , Edinburgh
2012	Ireland	32 - 14	Scotland	10 March	Aviva Stadium , Dublin
2013	Scotland	12 - 8	Ireland	24 February	Murrayfield , Edinburgh
