Name	Team	Qual 1	Qual 2	Best
Justin Wilson	RuSPORT	57.597	57.808	57.597
A. J. Allmendinger	RuSPORT	57.816	57.897	57.816
Paul Tracy	Forsythe Racing	57.911	58.253	57.911
Alex Tagliani	Team Australia	57.956	58.463	57.956
Sébastien Bourdais	Newman/Haas Racing	57.989	58.073	57.989
Mario Domínguez	Forsythe Racing	58.093	58.329	58.093
Andrew Ranger	Mi-Jack Conquest Racing	58.097	58.423	58.097
Jimmy Vasser	PKV Racing	58.134	58.497	58.134
Ronnie Bremer	HVM Racing	58.331	59.895	58.331
Cristiano da Matta	PKV Racing	58.344	58.343	58.343
Timo Glock	Rocketsports Racing	58.407	59.190	58.407
Oriol Servià	Newman/Haas Racing	58.828	58.669	58.669
Björn Wirdheim	HVM Racing	58.759	58.920	58.759
Ricardo Sperafico	Dale Coyne Racing	58.894	58.941	58.894
Michael Valiante	Dale Coyne Racing	59.055	59.318	59.055
Ryan Hunter-Reay	Rocketsports Racing	59.140	59.262	59.140
Nelson Philippe	Mi-Jack Conquest Racing	—*	59.345	59.345
Marcus Marshall	Team Australia	59.362	59.612	59.362
