Country	Sales (X1000)	No. of stores	Sales area (m²)	Sales per area	Average store size (m²)
Austria	€5,360,000	1,470	1,067,681	€5,020/m²	726
Italy	€3,855,662	1,549	831,423	€4,637/m²	537
United Kingdom	€3,189,273	2,504	357,860	€8,912/m²	143
South Africa*	€4,628,469	806	874,810	€5,290/m²	1,085
Germany	€250,000	340	27,200	€9,191/m²	80
Spain	€1,152,174	904	327,075	€3,522/m²	362
Ireland	€1,116,144	422	116,720	€9,562/m²	277
Norway	€1,440,539	276	156,351	€9,213/m²	566
Hungary	€1,400,000	389	391,467	€3,576/m²	1,006
Denmark	€1,072,740	504	170,309	€6,298/m²	338
France	€968,382	956	245,214	€3,949/m²	257
Japan	€86,224	89	9,559	€9,020/m²	107
Belgium	€813,500	291	137,743	€5,905/m²	473
Greece	€683,389	189	142,658	€4,790/m²	755
Slovenia	€713,546	86	142,133	€5,020/m²	1,653
Czech Republic	€550,000	39	138,293	€3,977/m²	3,546
Netherlands	€491,455	282	111,309	€4,415/m²	395
Switzerland	€455,094	169	69,838	€6,516/m²	426
Russia	€935,000	254	126,453	€7,394/m²	498
Zimbabwe	€233,009	64	40,826	€5,707/m²	638
Poland	€84,903	71	18,288	€4,642/m²	258
Australia	€172,008	100	36,271	€4,742/m²	363
Botswana	€97,506	26	23,249	€4,193/m²	894
Namibia	€127,706	27	27,670	€4,615/m²	1,025
Croatia	€263,426	19	68,036	€3,871/m²	3,581
China	€716,000	175	657,000	€1,089/m²	3,754
Mauritius	€22,041	8	7,000	€3,148/m²	875
Zambia	€52,139	11	19,142	€2,723/m²	1,740
Ukraine	€71,817	36	28,423	€3,024/m²	742
Romania	€10,000	7	3,000	€3,333/m²	429
Portugal	€44,132	58	20,013	€2,205/m²	345
Nigeria	€22,167	2	5,414	€4,094/m²	2,707
