Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Manitoba	Jennifer Jones	9	2	82	55	49	38	10	18	80
British Columbia	Kelly Scott	8	3	64	50	46	34	20	20	80
Saskatchewan	Stefanie Lawton	7	4	69	56	42	46	17	7	83
Ontario	Jenn Hanna	6	5	65	69	44	45	11	7	83
Alberta	Cathy King	6	5	68	62	45	45	13	12	79
Canada	Colleen Jones	6	5	77	68	49	44	11	15	82
New Brunswick	Sandy Comeau	6	5	69	77	46	52	7	12	77
Nova Scotia	Kay Zinck	5	6	65	62	42	46	11	10	76
Quebec	Brenda Nicholls	4	7	63	73	45	50	9	14	79
Northwest Territories Yukon	Kerry Koe	4	7	70	73	49	44	11	14	77
Prince Edward Island	Rebecca Jean MacPhee	4	7	70	73	49	44	11	14	77
