Shooter	Event	Rank points	Score points	Total
Zhu Qinan ( CHN )	WCF 2007	Defending champion	Defending champion	Defending champion
Abhinav Bindra ( IND )	OG Beijing	Olympic gold medalist	Olympic gold medalist	Olympic gold medalist
Henri Häkkinen ( FIN )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Alin George Moldoveanu ( ROU )	WC Munich	15	14	29
Péter Sidi ( HUN )	WC Rio de Janeiro	15	13	28
Matthew Emmons ( USA )	WC Beijing	10	14	24
Cao Yifei ( CHN )	WC Milan	10	11	21
Gagan Narang ( IND )	WC Beijing	8	12	20
Thomas Farnik ( AUT )	WC Munich	8	12	20
Nemanja Mirosavljev ( SRB )	WC Rio de Janeiro	8	11	19
Artur Ayvazyan ( UKR )	WC Milan	5	12	17
