Year	Track	125 cc	250 cc	Report
1990	Anderstorp	Hans Spaan	Carlos Cardús	Report
1989	Anderstorp	Àlex Crivillé	Sito Pons	Report
1988	Anderstorp	Jorge Martínez	Sito Pons	Report
1987	Anderstorp	Fausto Gresini	Anton Mang	Report
1986	Anderstorp	Fausto Gresini	Carlos Lavado	Report
1985	Anderstorp	August Auinger	Anton Mang	Report
1984	Anderstorp	Fausto Gresini	Manfred Herweh	Report
Year	Track	125 cc	250 cc	Report
1983	Anderstorp	Bruno Kneubühler	Christian Sarron	Report
1982	Anderstorp	Iván Palazzese	Roland Freymond	Report
1981	Anderstorp	Ricardo Tormo	Anton Mang	Report
1979	Karlskoga	Pier Paolo Bianchi	Graziano Rossi	Report
1978	Karlskoga	Pier Paolo Bianchi	Gregg Hansford	Report
1977	Anderstorp	Angel Nieto	Mick Grant	Report
1976	Anderstorp	Pier Paolo Bianchi	Takazumi Katayama	Report
1975	Anderstorp	Paolo Pileri	Walter Villa	Report
1974	Anderstorp	Kent Andersson	Takazumi Katayama	Report
1973	Anderstorp	Börje Jansson	Dieter Braun	Report
1972	Anderstorp	Angel Nieto	Rod Gould	Report
1971	Anderstorp	Barry Sheene	Rod Gould	Report
1961	Kristianstad	Luigi Taveri	Mike Hailwood	Report
1959	Kristianstad	Tarquinio Provini	Gary Hocking	Report
1958	Hedemora	Alberto Gandossi	Horst Fügner	Report
