Season	League	Division	GP	W	L	T	OTL	SOL	Pts	PCT	GF	GA	PIM	Coach(es)	Result
1995–96	WCHL	WCHL	58	24	29	0	0	5	53	0.457	271	323	1439	Keith Gretzky	Out of playoffs
1996–97	WCHL	WCHL	64	33	26	0	0	5	71	0.555	345	325	2061	Keith Gretzky	Lost in round 1
1997–98	WCHL	WCHLS	64	22	37	0	0	5	49	0.383	226	330	1949	Keith Gretzky	Lost in round 1
1998–99	WCHL	WCHLS	70	21	40	0	0	9	51	0.364	213	308	2010	Kevin MacDonald	Lost in round 1
1999–00	WCHL	WCHLS	72	34	29	0	0	9	77	0.535	244	272	2343	Kevin MacDonald	Lost in round 1
2000–01	WCHL	WCHLS	72	26	36	0	0	10	62	0.431	220	273	2147	Kevin MacDonald	Lost in round 1
2001–02	WCHL	WCHLS	72	32	35	0	0	5	69	0.479	213	237	1377	Paul Kelly	Lost in round 1
2002–03	WCHL	WCHL	72	41	22	0	0	9	91	0.632	253	186	1625	Paul Kelly	Lost in round 1
2003–04	ECHL	Pacific	72	25	38	0	0	9	59	0.410	201	236	1750	Paul Kelly, Marty Raymond	Out of Playoffs
2004–05	ECHL	West	72	40	22	0	5	5	90	0.625	232	205	1691	Marty Raymond	Lost in round 1
2005–06	ECHL	Pacific	72	40	26	0	2	4	86	0.597	221	222	1814	Marty Raymond	Lost in round 3
2006–07	ECHL	Pacific	72	41	19	0	3	9	94	0.653	270	236	1556	Marty Raymond	Lost in round 3
2007–08	ECHL	Pacific	72	26	37	0	2	7	61	0.424	230	280	1772	Marty Raymond	Lost in round 2
2008–09	ECHL	Pacific	72	33	31	0	3	5	74	0.514	246	263	1250	Marty Raymond	Lost in round 1
2009–10	ECHL	Pacific	72	38	29	0	4	1	81	0.563	232	243	1270	Marty Raymond	Lost in round 2
2010–11	ECHL	Pacific	72	41	27	0	2	2	86	0.597	222	210	1528	Marty Raymond	Lost in round 1
2011–12	ECHL	Pacific	72	24	41	0	4	3	55	0.382	199	241	1356	Matt O'Dette	Out of Playoffs
