Year	Comp.	Att.	Comp%	Yards	TD's	INT's	Rating
1993	2	5	40	26	0	0	57
1994	208	363	57.3	2,685	46	12	98.5
1995	54	90	60	574	11	3	95.3
1996	286	462	61.9	3,690	65	13	110.4
1997	241	400	60.3	3,331	67	6	120.3
1998	295	451	65.4	3,571	70	8	121
2000	269	473	56.9	3,454	72	7	111.7
2001	193	297	65	2,505	46	7	120.2
2002	270	439	61.5	3,219	69	8	115.5
2003	289	431	67.1	3,696	89	7	126.5
2004	348	536	64.9	3,850	77	9	115
2005	189	320	59.1	2,334	51	10	108.2
2006	295	507	58.2	3,991	83	16	109.8
2007	315	498	63.3	4,003	83	13	117.2
2008	60	94	63.8	783	16	3	116.3
Career statistics	3,314	5,366	61.8	41,742	845	122	115.9
