Round	Overall	Player	Nationality	Club team
1	15	Mathieu Chouinard	Canada	Shawinigan Cataractes (QMJHL)
2	44	Mike Fisher	Canada	Sudbury Wolves (OHL)
2	58	Chris Bala	United States	Harvard University (NCAA)
3	74	Julien Vauclair	Switzerland	Lugano (Switzerland)
4	101	Petr Schastlivy	Russia	Yaroslavl Torpedo (Russia)
5	130	Gavin McLeod	Canada	Kelowna Rockets (WHL)
6	161	Chris Neil	Canada	North Bay Centennials (OHL)
7	188	Michel Periard	Canada	Shawinigan Cataractes (QMJHL)
8	223	Sergei Verenkin	Russia	Yaroslavl Torpedo (Russia)
9	246	Rastislav Pavlikovsky	Slovakia	Utah Grizzlies (IHL)
