Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	36	1:08:05.002	3
David Coulthard	McLaren - Mercedes	36	+10.098	9
Giancarlo Fisichella	Benetton - Renault	36	+27.742	8
Mika Häkkinen	McLaren - Mercedes	36	+36.087	7
Rubens Barrichello	Ferrari	36	+54.521	5
Jean Alesi	Jordan - Honda	36	+59.684	13
Ralf Schumacher	Williams - BMW	36	+59.986	2
Jacques Villeneuve	BAR - Honda	36	+1:04.970	6
Heinz-Harald Frentzen	Prost - Acer	35	+1 Lap	4
Jos Verstappen	Arrows - Asiatech	35	+1 Lap	19
Olivier Panis	BAR - Honda	35	+1 Lap	11
Enrique Bernoldi	Arrows - Asiatech	35	+1 Lap	21
Tarso Marques	Minardi - European	31	+5 Laps	22
Jarno Trulli	Jordan - Honda	31	Engine	16
Jenson Button	Benetton - Renault	17	Accident	15
Juan Pablo Montoya	Williams - BMW	1	Engine	1
Pedro de la Rosa	Jaguar - Cosworth	1	Collision	10
Nick Heidfeld	Sauber - Petronas	0	Collision	14
Kimi Räikkönen	Sauber - Petronas	0	Transmission	12
Eddie Irvine	Jaguar - Cosworth	0	Collision	17
Luciano Burti	Prost - Acer	0	Collision	18
Fernando Alonso	Minardi - European	0	Gearbox	20
