Year	Office	Candidate	Popular Votes	Percentage
1986	MN Attorney General	Derrick Grimmer	16,394	1.17%
1990	MN Governor	Ross S. Culverhouse	17,176	0.96%
1990	MN Treasurer	Colleen Bonniwell	84,919	4.94%
1994	MN Governor	Will Shetterly	20,785	1.20%
1994	MN Secretary of State	Dale D. Wilkinson	54,009	3.12%
1994	MN Attorney General	Dean W. Amundson	69,776	4.17%
1994	MN Auditor	Steven C. Anderson	80,811	4.79%
1994	MN Treasurer	Colleen Bonniwell	84,486	5.20%
1996	MN Senator 62	Steven C. Anderson	2,032	6.63%
1998	MN Governor	Chris Wright	1,727	0.10%
1998	MN Representative 59A	Dale D. Wilkinson	1,270	9.66%
2010	MN Governor	Chris Wright	7,513	0.4%
