Driver	Constructor	Laps	Time/Retired	Grid
Jo Siffert	BRM	54	1:30:23.91	1
Emerson Fittipaldi	Lotus - Ford	54	+ 4.12	5
Tim Schenken	Brabham - Ford	54	+ 19.77	7
Reine Wisell	Lotus - Ford	54	+ 31.87	10
Graham Hill	Brabham - Ford	54	+ 48.43	8
Henri Pescarolo	March - Ford	54	+ 1:24.51	13
Rolf Stommelen	Surtees - Ford	54	+ 1:37.42	12
Ronnie Peterson	March - Ford	53	+1 Lap	11
Jackie Oliver	McLaren - Ford	53	+1 Lap	22
Peter Gethin	BRM	52	+2 Laps	16
Helmut Marko	BRM	52	+2 Laps	17
Nanni Galli	March - Alfa Romeo	51	+3 Laps	15
Mike Beuttler	March - Ford	47	Not Classified	19
François Cevert	Tyrrell - Ford	42	Engine	3
Jackie Stewart	Tyrrell - Ford	35	Halfshaft	2
Jacky Ickx	Ferrari	31	Engine	6
Niki Lauda	March - Ford	20	Handling	21
John Surtees	Surtees - Ford	12	Engine	18
Clay Regazzoni	Ferrari	8	Engine	4
Howden Ganley	BRM	5	Ignition	14
Denny Hulme	McLaren - Ford	4	Engine	9
Jo Bonnier	McLaren - Ford	0	Fuel Leak	20
