Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
18	December 2	Dallas	L 101–117 (OT)	Chris Douglas-Roberts (24)	Courtney Lee , Brook Lopez (6)	Terrence Williams (6)	Izod Center 11,689	0-18
19	December 4	Charlotte	W 97–91 (OT)	Brook Lopez (31)	Brook Lopez (14)	Devin Harris (8)	Izod Center 12,131	1-18
20	December 6	@ New York	L 97–106 (OT)	Chris Douglas-Roberts (26)	Josh Boone (7)	Devin Harris (6)	Madison Square Garden 19,602	1-19
21	December 8	@ Chicago	W 103–101 (OT)	Brook Lopez (25)	Brook Lopez, Josh Boone (10)	Devin Harris (6)	United Center 17,872	2-19
22	December 9	Golden State	L 89–105 (OT)	Brook Lopez (21)	Brook Lopez (10)	Courtney Lee (3)	Izod Center 10,005	2-20
23	December 11	@ Indiana	L 91–107 (OT)	Brook Lopez (25)	Brook Lopez (14)	Rafer Alston , Devin Harris (3)	Conseco Fieldhouse 12,175	2-21
24	December 13	@ Atlanta	L 107–130 (OT)	Devin Harris (23)	Brook Lopez (12)	Devin Harris (9)	Philips Arena 14,015	2-22
25	December 15	@ Cleveland	L 89–99 (OT)	Brook Lopez , Devin Harris (22)	[Brook Lopez (15)	Rafer Alston , Devin Harris (3)	Quicken Loans Arena 20,562	2-23
26	December 16	Utah	L 92–108 (OT)	Brook Lopez (23)	Josh Boone (11)	Devin Harris (6)	Izod Center 11,476	2-24
28	December 19	LA Lakers	L 84–103 (OT)	Devin Harris (21)	Brook Lopez (11)	Brook Lopez (4)	Izod Center 17,190	2-26
29	December 23	Minnesota	L 99–103 (OT)	Devin Harris (23)	Brook Lopez (10)	Devin Harris (8)	Izod Center 10,204	2-27
30	December 26	Houston	L 93–98 (OT)	Devin Harris (19)	Brook Lopez (11)	Devin Harris, Keyon Dooling (6)	Izod Center 13,374	2-28
31	December 28	Oklahoma City	L 89–105 (OT)	Yi Jianlian (29)	Yi Jianlian, Brook Lopez (7)	Devin Harris (11)	Izod Center 15,335	2-29
