Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1996	Viper Team Oreca	Philippe Gache Eric Hélary	GT1	283	21st	12th
1997	Viper Team Oreca	Philippe Gache Dominique Dupuy	GT2	263	DNF	DNF
1998	Viper Team Oreca	Pedro Lamy Tommy Archer	GT2	312	13th	2nd
1999	Viper Team Oreca	Karl Wendlinger Dominique Dupuy	GTS	325	10th	1st
2000	Viper Team Oreca	Karl Wendlinger Dominique Dupuy	GTS	333	7th	1st
2001	Team PlayStation	Karl Wendlinger Pedro Lamy	LMP900	298	4th	3rd
2002	PlayStation Team Oreca	Érik Comas Pedro Lamy	LMP900	359	5th	4th
2003	JML Team Panoz	Gunnar Jeannette Max Papis	LMP900	360	5th	3rd
2004	Corvette Racing	Oliver Gavin Jan Magnussen	GTS	345	6th	1st
2005	Corvette Racing	Oliver Gavin Jan Magnussen	GT1	349	5th	1st
2006	Corvette Racing	Oliver Gavin Jan Magnussen	GT1	355	4th	1st
2007	Corvette Racing	Oliver Gavin Max Papis	GT1	22	DNF	DNF
2008	Corvette Racing	Oliver Gavin Max Papis	GT1	341	15th	3rd
2009	Corvette Racing	Oliver Gavin Marcel Fässler	GT1	311	DNF	DNF
2010	Corvette Racing	Oliver Gavin Emmanuel Collard	GT2	255	DNF	DNF
2011	Corvette Racing	Tommy Milner Antonio García	GTE Pro	314	11th	1st
2012	AF Corse	Andrea Bertolini Marco Cioci	GTE Pro	326	22nd	4th
2013	AF Corse	Kamui Kobayashi Toni Vilander	GTE Pro	312	21st	5th
