Year	Regular Season Champion(s)	Record	Tournament Champion	Tournament venue	Tournament city
1921–22	Virginia	5–0	North Carolina	Municipal Auditorium	Atlanta , Georgia
1922–23	North Carolina	5–0	Mississippi State	Municipal Auditorium	Atlanta, Georgia
1923–24	Tulane	10–0	North Carolina	Municipal Auditorium	Atlanta, Georgia
1924–25	North Carolina	8–0	North Carolina	Municipal Auditorium	Atlanta, Georgia
1925–26	Kentucky	8–0	North Carolina	Municipal Auditorium	Atlanta, Georgia
1926–27	South Carolina	9–1	Vanderbilt	Municipal Auditorium	Atlanta, Georgia
1927–28	Auburn	12–1	Mississippi	Municipal Auditorium	Atlanta, Georgia
1928–29	Washington & Lee	7–1	NC State	Municipal Auditorium	Atlanta, Georgia
1929–30	Alabama	10–0	Alabama	Municipal Auditorium	Atlanta, Georgia
1930–31	Georgia	15–1	Maryland	Municipal Auditorium	Atlanta, Georgia
1931–32	Maryland Kentucky	9–1	Georgia	Municipal Auditorium	Atlanta, Georgia
1932–33	South Carolina	3–0	South Carolina	Thompson Gym	Raleigh, North Carolina
1933–34	South Carolina	6–0	Washington & Lee	Thompson Gym	Raleigh, North Carolina
1934–35	North Carolina	12–1	North Carolina	Thompson Gym	Raleigh, North Carolina
1935–36	Washington & Lee	10–1	North Carolina	Thompson Gym	Raleigh, North Carolina
1936–37	Washington & Lee	11–1	Washington & Lee	Thompson Gym	Raleigh, North Carolina
1937–38	North Carolina	13–3	Duke	Thompson Gym	Raleigh, North Carolina
1938–39	Wake Forest	15–3	Clemson	Thompson Gym	Raleigh, North Carolina
1939–40	Duke	13–2	North Carolina	Thompson Gym	Raleigh, North Carolina
1940–41	North Carolina	14–1	Duke	Thompson Gym	Raleigh, North Carolina
1941–42	Duke	15–1	Duke	Thompson Gym	Raleigh, North Carolina
1942–43	Duke	12–1	George Washington	Thompson Gym	Raleigh, North Carolina
1943–44	North Carolina	9–1	Duke	Thompson Gym	Raleigh, North Carolina
1944–45	South Carolina	9–0	North Carolina	Thompson Gym	Raleigh, North Carolina
1945–46	North Carolina	13–1	Duke	Thompson Gym	Raleigh, North Carolina
1946–47	NC State	11–2	NC State	Duke Indoor Stadium	Durham, North Carolina
1947–48	NC State	12–0	NC State	Duke Indoor Stadium	Durham, North Carolina
1948–49	NC State	14–1	NC State	Duke Indoor Stadium	Durham, North Carolina
1949–50	NC State	12–2	NC State	Duke Indoor Stadium	Durham, North Carolina
1950–51	NC State	13–1	NC State	Reynolds Coliseum	Raleigh, North Carolina
