Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Mike Barry	MF	2 (3)	0	0	0	0	0	2 (3)	0
Les Chapman	MF	38 (1)	3	4	1	1	0	43 (1)	4
Trevor Cherry	DF	42	1	4	1	1	0	46	2
Dennis Clarke	DF	41	0	3	1	1	0	45	1
Terry Dolan	MF	18 (2)	1	4	1	0	0	22 (2)	2
Roy Ellam	DF	42	1	4	0	1	0	47	1
Mick Fairclough	FW	5 (3)	0	0 (1)	0	0	0	5 (4)	0
Bobby Hoy	MF	22	0	0	0	1	0	23	0
Geoff Hutt	DF	42	0	4	0	1	0	47	0
Alan Jones	DF	10 (2)	0	1 (1)	0	0	0	11 (3)	0
Dick Krzywicki	MF	10 (3)	0	1 (1)	0	0	0	11 (4)	0
David Lawson	GK	32	0	4	0	1	0	37	0
Jimmy Lawson	MF	40	9	4	3	1	0	45	12
Dave Lyon	DF	2	0	0	0	0	0	2	0
Brian Mahoney	MF	4 (1)	0	1	0	0	0	5 (1)	0
Jimmy McGill	MF	10 (1)	0	0	0	1	0	11 (1)	0
Jimmy Nicholson	MF	5	0	0	0	0	0	5	0
Gary Pierce	GK	10	0	0	0	0	0	10	0
Dave Smith	MF	8 (2)	3	2	1	0	0	10 (2)	4
Steve Smith	MF	40	2	4	0	1	0	45	2
Frank Worthington	FW	39	5	4	1	1	0	44	6
